,time,open,high,low,close,volume
37477,4/13/20 7:05,254,259.1,254,259.1,299
37476,4/13/20 7:25,259,259,259,259,100
37475,4/13/20 7:35,258,258,258,258,300
37474,4/13/20 8:05,257,257,257,257,253
37473,4/13/20 9:20,262.55,262.55,262.55,262.55,336
37472,4/13/20 9:25,258.52,259.0898,258.52,259.0898,631
37471,4/13/20 9:30,259.32,259.33,258.5,258.5,768
37470,4/13/20 9:35,256.7,257.35,253.1547,254.11,83650
37469,4/13/20 9:40,254.505,256,254.01,255.91,28254
37468,4/13/20 9:45,255.825,256.24,253.665,253.665,18574
37467,4/13/20 9:50,253.67,254.29,252.305,254.1397,23767
37466,4/13/20 9:55,253.645,254.425,253.15,253.15,28820
37465,4/13/20 10:00,253.49,253.75,252.1553,252.215,22766
37464,4/13/20 10:05,252,253.5,251.4038,253.09,32126
37463,4/13/20 10:10,253.175,253.52,252.25,252.405,21490
37462,4/13/20 10:15,252.2,253.45,252.2,252.53,15939
37461,4/13/20 10:20,252.09,252.16,251.4001,251.555,18252
37460,4/13/20 10:25,251.67,251.83,250.301,251.2,25110
37459,4/13/20 10:30,251.2,252.22,251.1,251.81,21782
37458,4/13/20 10:35,251.43,251.77,251.19,251.26,16096
37457,4/13/20 10:40,251.26,251.53,250.53,251.215,15982
37456,4/13/20 10:45,251.21,251.62,251.08,251.165,31615
37455,4/13/20 10:50,251.14,251.59,250.56,250.985,25691
37454,4/13/20 10:55,250.83,252.33,250.78,251.56,14884
37453,4/13/20 11:00,251.74,251.74,250.79,251.12,16452
37452,4/13/20 11:05,250.8,250.86,250.2,250.86,10472
37451,4/13/20 11:10,250.91,250.91,250.25,250.4,22437
37450,4/13/20 11:15,250.475,250.8,250.15,250.58,18572
37449,4/13/20 11:20,250.66,251.66,250.66,251.33,14531
37448,4/13/20 11:25,251.4,252.43,251.39,252.3537,12499
37447,4/13/20 11:30,252.395,253.4599,252.2629,253.345,12982
37446,4/13/20 11:35,253.35,253.41,252.91,253.2238,22966
37445,4/13/20 11:40,252.98,253.3158,252.91,253.3158,17523
37444,4/13/20 11:45,253.1775,253.28,252.49,252.63,13354
37443,4/13/20 11:50,252.69,253.43,252.69,253.2085,11732
37442,4/13/20 11:55,253.09,253.94,253.01,253.32,13745
37441,4/13/20 12:00,253.26,253.365,252.3,252.33,24608
37440,4/13/20 12:05,252.3,252.3,251.33,251.57,28804
37439,4/13/20 12:10,251.72,251.88,250.93,250.93,13329
37438,4/13/20 12:15,251.1,251.4357,250.96,251.14,8752
37437,4/13/20 12:20,251.34,251.92,251.07,251.57,24124
37436,4/13/20 12:25,251.605,251.605,251.19,251.53,9743
37435,4/13/20 12:30,251.6,252,250.97,250.97,23096
37434,4/13/20 12:35,251.1,251.1,250.28,250.46,14060
37433,4/13/20 12:40,250.46,250.46,249.359,249.74,28128
37432,4/13/20 12:45,249.78,250.27,249.71,250.09,11120
37431,4/13/20 12:50,250,250.1931,249.9,250,15240
37430,4/13/20 12:55,249.89,250.24,249.52,249.52,20650
37429,4/13/20 13:00,249.43,249.86,249.21,249.31,15384
