,time,open,high,low,close,volume
22056,2021-04-08 04:30:00,3306.0,3306.0,3305.0,3305.0,549.0
22055,2021-04-08 06:30:00,3310.0,3310.0,3310.0,3310.0,327.0
22054,2021-04-08 07:05:00,3311.0,3312.0,3308.05,3308.05,1877.0
22053,2021-04-08 07:10:00,3306.2,3307.0,3305.0,3307.0,1818.0
22052,2021-04-08 07:15:00,3308.74,3308.74,3308.0,3308.0,430.0
22051,2021-04-08 07:30:00,3311.76,3311.76,3311.76,3311.76,592.0
22050,2021-04-08 07:35:00,3312.5,3312.5,3311.0,3311.21,1519.0
22049,2021-04-08 07:40:00,3313.0,3314.0,3313.0,3314.0,1117.0
22048,2021-04-08 07:45:00,3312.8,3312.8,3312.8,3312.8,1043.0
22047,2021-04-08 07:50:00,3310.6,3310.6,3310.6,3310.6,206.0
22046,2021-04-08 08:05:00,3308.0001,3312.8,3271.192,3306.02,4690.0
22045,2021-04-08 08:10:00,3306.0,3306.0,3303.16,3303.16,2608.0
22044,2021-04-08 08:15:00,3306.3,3306.3,3303.91,3304.0,2920.0
22043,2021-04-08 08:20:00,3305.0,3305.0,3305.0,3305.0,215.0
22042,2021-04-08 08:25:00,3306.5,3306.5,3306.5,3306.5,690.0
22041,2021-04-08 08:30:00,3306.5,3306.5,3306.5,3306.5,167.0
22040,2021-04-08 08:35:00,3308.99,3311.0,3308.99,3309.8,2934.0
22039,2021-04-08 08:40:00,3311.44,3311.44,3307.0,3307.0,1399.0
22038,2021-04-08 08:45:00,3306.0,3306.0,3306.0,3306.0,480.0
22037,2021-04-08 08:50:00,3308.0,3308.0,3308.0,3308.0,1417.0
22036,2021-04-08 08:55:00,3308.0,3308.0,3307.3,3307.3,842.0
22035,2021-04-08 09:00:00,3279.39,3279.39,3279.39,3279.39,5070.0
22034,2021-04-08 09:05:00,3306.1,3306.1,3304.1,3304.1,1783.0
22033,2021-04-08 09:10:00,3303.26,3304.68,3303.26,3304.2,1112.0
