,time,open,high,low,close,volume
19377,2021-04-08 07:10:00,97.65,97.65,97.65,97.65,210.0
19376,2021-04-08 07:50:00,97.65,97.65,97.65,97.65,1473.0
19375,2021-04-08 08:05:00,97.33,97.97,97.33,97.97,202.0
19374,2021-04-08 09:10:00,96.3633,96.3633,96.3633,96.3633,212.0
19373,2021-04-08 09:30:00,97.85,97.85,97.74,97.75,1422.0
19372,2021-04-08 09:35:00,97.81,97.87,97.245,97.64,143658.0
19371,2021-04-08 09:40:00,97.58,97.58,97.25,97.42,73239.0
19370,2021-04-08 09:45:00,97.47,97.55,97.2,97.26,44085.0
19369,2021-04-08 09:50:00,97.235,97.375,97.1,97.17,30013.0
19368,2021-04-08 09:55:00,97.17,97.49,97.16,97.35,40803.0
19367,2021-04-08 10:00:00,97.35,97.43,97.19,97.26,35505.0
19366,2021-04-08 10:05:00,97.26,97.26,96.935,96.985,61044.0
19365,2021-04-08 10:10:00,96.97,97.17,96.97,97.14,43082.0
19364,2021-04-08 10:15:00,97.12,97.27,97.1,97.19,52884.0
19363,2021-04-08 10:20:00,97.185,97.225,96.95,96.97,41392.0
19362,2021-04-08 10:25:00,96.96,97.2,96.91,97.05,32190.0
19361,2021-04-08 10:30:00,97.015,97.08,96.83,96.91,37328.0
19360,2021-04-08 10:35:00,96.91,96.9926,96.9082,96.958,31129.0
19359,2021-04-08 10:40:00,96.93,97.1,96.92,97.1,44631.0
19358,2021-04-08 10:45:00,97.105,97.16,97.04,97.06,31332.0
19357,2021-04-08 10:50:00,97.065,97.18,96.98,97.15,61328.0
19356,2021-04-08 10:55:00,97.16,97.16,96.975,97.02,48490.0
19355,2021-04-08 11:00:00,97.015,97.09,96.98,96.98,25494.0
19354,2021-04-08 11:05:00,96.98,97.07799999999999,96.89,97.06,51759.0
19353,2021-04-08 11:10:00,97.07,97.08,96.98,97.03,22385.0
19352,2021-04-08 11:15:00,97.0216,97.03,96.91,96.93,24655.0
19351,2021-04-08 11:20:00,96.93,97.02,96.84,97.01,40075.0
19350,2021-04-08 11:25:00,97.015,97.04,96.97,97.0399,39513.0
19349,2021-04-08 11:30:00,97.02,97.0325,96.97,97.01,29056.0
19348,2021-04-08 11:35:00,97.01,97.03,96.87,96.87,39239.0
19347,2021-04-08 11:40:00,96.86,96.88,96.77,96.83,28879.0
19346,2021-04-08 11:45:00,96.83,97.0,96.81,96.92,30726.0
19345,2021-04-08 11:50:00,96.91,96.97,96.87,96.91,27681.0
19344,2021-04-08 11:55:00,96.91,96.995,96.91,96.99,35704.0
19343,2021-04-08 12:00:00,96.99,97.035,96.95,97.005,19303.0
19342,2021-04-08 12:05:00,97.01,97.03,96.93,96.955,24280.0
19341,2021-04-08 12:10:00,96.95,96.965,96.89,96.91,31522.0
19340,2021-04-08 12:15:00,96.9,96.9,96.77,96.81,27348.0
19339,2021-04-08 12:20:00,96.82,96.904,96.81,96.81,20844.0
19338,2021-04-08 12:25:00,96.81,96.83,96.6851,96.71,21899.0
19337,2021-04-08 12:30:00,96.72,96.72,96.56,96.57,22564.0
19336,2021-04-08 12:35:00,96.5711,96.63,96.56,96.59,24980.0
19335,2021-04-08 12:40:00,96.57,96.61,96.53,96.53,17842.0
19334,2021-04-08 12:45:00,96.52,96.59,96.48,96.59,21255.0
19333,2021-04-08 12:50:00,96.58,96.5963,96.4901,96.4901,20274.0
19332,2021-04-08 12:55:00,96.49,96.58,96.49,96.58,16543.0
19331,2021-04-08 13:00:00,96.5875,96.66,96.57799999999999,96.62,21365.0
19330,2021-04-08 13:05:00,96.61,96.71,96.61,96.66,17809.0
19329,2021-04-08 13:10:00,96.65,96.66,96.6,96.63,27032.0
19328,2021-04-08 13:15:00,96.63,96.65,96.54,96.54,14119.0
19327,2021-04-08 13:20:00,96.53,96.585,96.4825,96.5301,17880.0
19326,2021-04-08 13:25:00,96.53,96.55,96.49,96.55,20032.0
19325,2021-04-08 13:30:00,96.5506,96.59,96.5122,96.59,17618.0
19324,2021-04-08 13:35:00,96.6,96.69,96.57,96.62,19742.0
19323,2021-04-08 13:40:00,96.61,96.655,96.6,96.63,18760.0
19322,2021-04-08 13:45:00,96.63,96.64,96.51,96.52,25291.0
19321,2021-04-08 13:50:00,96.53,96.55,96.47,96.52,22281.0
19320,2021-04-08 13:55:00,96.52,96.53,96.47,96.52,18448.0
19319,2021-04-08 14:00:00,96.505,96.53,96.45,96.52,25243.0
19318,2021-04-08 14:05:00,96.53,96.53,96.39,96.44,35683.0
19317,2021-04-08 14:10:00,96.43,96.505,96.42,96.49,20530.0
19316,2021-04-08 14:15:00,96.49,96.53,96.47,96.51,23474.0
19315,2021-04-08 14:20:00,96.5,96.61,96.49,96.6,19575.0
19314,2021-04-08 14:25:00,96.59,96.665,96.56,96.62,22314.0
19313,2021-04-08 14:30:00,96.625,96.72,96.62,96.65,42745.0
19312,2021-04-08 14:35:00,96.64,96.64,96.4,96.47,46694.0
19311,2021-04-08 14:40:00,96.47,96.47,96.335,96.41,29752.0
19310,2021-04-08 14:45:00,96.425,96.48,96.42,96.475,35923.0
19309,2021-04-08 14:50:00,96.475,96.475,96.38,96.45,35925.0
19308,2021-04-08 14:55:00,96.44,96.44,96.2533,96.28,36544.0
19307,2021-04-08 15:00:00,96.28,96.34899999999999,96.274,96.33,25390.0
19306,2021-04-08 15:05:00,96.32,96.32,96.24,96.245,29172.0
19305,2021-04-08 15:10:00,96.24,96.31,96.17,96.24,97275.0
19304,2021-04-08 15:15:00,96.24,96.31,96.15,96.28,41033.0
19303,2021-04-08 15:20:00,96.28,96.35,96.25,96.25,34830.0
19302,2021-04-08 15:25:00,96.24,96.3,96.19,96.2,56301.0
19301,2021-04-08 15:30:00,96.205,96.26,96.16,96.2,47161.0
19300,2021-04-08 15:35:00,96.195,96.46,96.195,96.38,66919.0
19299,2021-04-08 15:40:00,96.38,96.46,96.35,96.455,58089.0
19298,2021-04-08 15:45:00,96.45,96.495,96.4,96.425,76977.0
19297,2021-04-08 15:50:00,96.42,96.45,96.355,96.425,63140.0
19296,2021-04-08 15:55:00,96.42,96.44,96.3,96.35,197004.0
19295,2021-04-08 16:00:00,96.35,96.47,96.32,96.47,237429.0
19294,2021-04-08 16:05:00,96.46,96.46,96.46,96.46,26644.0
19293,2021-04-08 16:10:00,96.46,96.46,96.46,96.46,11209.0
19292,2021-04-08 16:50:00,96.85,96.85,96.85,96.85,218.0
19291,2021-04-08 16:55:00,96.89,96.9,96.89,96.9,767.0
19290,2021-04-09 08:50:00,96.01,96.01,96.01,96.01,364.0
19289,2021-04-09 09:30:00,96.06,96.06,96.06,96.06,471.0
19288,2021-04-09 09:35:00,96.07,96.31,95.6,95.75,124087.0
19287,2021-04-09 09:40:00,95.77,95.885,95.3,95.33,85835.0
19286,2021-04-09 09:45:00,95.35,95.6,95.19,95.4656,56130.0
19285,2021-04-09 09:50:00,95.5,95.55,95.37,95.41,52788.0
19284,2021-04-09 09:55:00,95.395,95.46,95.21,95.24,50140.0
19283,2021-04-09 10:00:00,95.29,95.31,95.05,95.05,46938.0
19282,2021-04-09 10:05:00,95.05,95.1376,94.94,95.05,48637.0
19281,2021-04-09 10:10:00,95.02,95.12,95.01,95.105,33683.0
19280,2021-04-09 10:15:00,95.105,95.105,94.83,94.87,63668.0
19279,2021-04-09 10:20:00,94.87,94.89,94.68,94.7,49360.0
19278,2021-04-09 10:25:00,94.7,94.785,94.581,94.59,46411.0
19277,2021-04-09 10:30:00,94.59,94.76,94.545,94.73,94706.0
19276,2021-04-09 10:35:00,94.75,94.91,94.67,94.88,52255.0
19275,2021-04-09 10:40:00,94.89,94.93,94.6,94.61,58982.0
19274,2021-04-09 10:45:00,94.61,94.74,94.6,94.67,33200.0
19273,2021-04-09 10:50:00,94.66,94.8,94.631,94.66,25147.0
19272,2021-04-09 10:55:00,94.67,94.73,94.6,94.65,28365.0
