,time,open,high,low,close,volume
27819,2021-04-08 04:05:00,253.2,253.2,253.2,253.2,337.0
27818,2021-04-08 05:00:00,253.5,253.5,253.2,253.2,568.0
27817,2021-04-08 05:05:00,252.66,252.66,252.66,252.66,420.0
27816,2021-04-08 06:20:00,253.59,253.59,253.59,253.59,175.0
27815,2021-04-08 06:25:00,253.58,253.58,253.58,253.58,100.0
27814,2021-04-08 06:30:00,253.33,253.33,253.33,253.33,100.0
27813,2021-04-08 06:50:00,252.61,252.61,252.48,252.48,652.0
27812,2021-04-08 07:05:00,252.48,253.03,252.47,252.75,2674.0
27811,2021-04-08 07:10:00,252.75,252.75,252.4,252.4,742.0
27810,2021-04-08 07:20:00,252.79,252.8,252.79,252.8,2050.0
27809,2021-04-08 07:25:00,252.81,252.96,252.81,252.96,1608.0
27808,2021-04-08 07:35:00,253.0,253.0,252.9,252.9,349.0
27807,2021-04-08 07:45:00,253.3,253.31,253.3,253.31,366.0
27806,2021-04-08 08:00:00,253.2,253.2,253.2,253.2,710.0
27805,2021-04-08 08:05:00,252.9381,253.44,252.24,253.44,9791.0
27804,2021-04-08 08:10:00,253.3,253.75,253.3,253.75,3381.0
27803,2021-04-08 08:15:00,253.79,253.79,253.7,253.7,565.0
27802,2021-04-08 08:20:00,253.43,253.43,253.1086,253.1086,2239.0
27801,2021-04-08 08:25:00,253.55,253.55,253.2375,253.5,1822.0
27800,2021-04-08 08:30:00,253.5,253.5,253.17,253.27,981.0
27799,2021-04-08 08:35:00,253.4,253.4,253.4,253.4,702.0
27798,2021-04-08 08:40:00,253.11,253.11,252.93,252.93,6233.0
27797,2021-04-08 08:45:00,252.88,252.88,252.75,252.88,1750.0
27796,2021-04-08 08:50:00,252.88,252.98,252.75,252.85,4353.0
27795,2021-04-08 08:55:00,252.85,252.85,252.85,252.85,553.0
27794,2021-04-08 09:00:00,252.6,252.87,252.58,252.6,8816.0
27793,2021-04-08 09:05:00,252.86,252.94,252.7,252.94,1569.0
27792,2021-04-08 09:10:00,252.6,252.8,252.6,252.72,3213.0
27791,2021-04-08 09:15:00,252.7,252.7,252.7,252.7,876.0
27790,2021-04-08 09:20:00,252.78,252.78,252.78,252.78,239.0
27789,2021-04-08 09:25:00,252.9,252.95,252.75,252.95,2559.0
27788,2021-04-08 09:30:00,252.6,252.6,251.22,251.22,9507.0
27787,2021-04-08 09:35:00,251.7,252.25,250.77,250.83599999999998,445105.0
27786,2021-04-08 09:40:00,250.9667,251.13,250.12,250.91,278545.0
27785,2021-04-08 09:45:00,250.97,250.97,249.76,249.84,268017.0
27784,2021-04-08 09:50:00,249.8301,250.17,249.31,249.88,212084.0
27783,2021-04-08 09:55:00,249.85,250.35,249.53,250.0,167776.0
27782,2021-04-08 10:00:00,250.06,250.41,249.92,250.2,148123.0
27781,2021-04-08 10:05:00,250.215,250.68,250.0,250.0999,212671.0
27780,2021-04-08 10:10:00,250.05,250.09,249.39,250.01,191842.0
27779,2021-04-08 10:15:00,249.87,250.5699,249.83,250.47,179309.0
27778,2021-04-08 10:20:00,250.5,251.37,250.5,251.2063,239121.0
27777,2021-04-08 10:25:00,251.2605,251.8,251.15,251.34,173176.0
27776,2021-04-08 10:30:00,251.3,252.02,251.2,251.8,210476.0
27775,2021-04-08 10:35:00,251.81,252.04,251.04,251.11,212381.0
27774,2021-04-08 10:40:00,251.13,251.5428,250.9,251.36,192856.0
27773,2021-04-08 10:45:00,251.3625,251.56,251.16,251.23,115659.0
27772,2021-04-08 10:50:00,251.2385,251.7,251.2074,251.58,123304.0
27771,2021-04-08 10:55:00,251.58,251.95,251.5,251.9,109417.0
27770,2021-04-08 11:00:00,251.92,252.3589,251.65,251.81,176524.0
27769,2021-04-08 11:05:00,251.855,252.46,251.82,252.385,152520.0
27768,2021-04-08 11:10:00,252.38,252.43,252.04,252.3,96601.0
27767,2021-04-08 11:15:00,252.28,252.3,251.76,251.79,92079.0
27766,2021-04-08 11:20:00,251.79,252.3981,251.7,252.05,155247.0
27765,2021-04-08 11:25:00,252.08,252.8648,251.98,252.83,222045.0
27764,2021-04-08 11:30:00,252.835,253.4,252.8,253.1101,262571.0
27763,2021-04-08 11:35:00,253.14,253.3799,252.9,253.0799,152340.0
27762,2021-04-08 11:40:00,253.05,253.5199,253.05,253.3199,122780.0
27761,2021-04-08 11:45:00,253.34,253.54,253.21,253.2414,97222.0
27760,2021-04-08 11:50:00,253.25,253.29,252.81,252.8133,113893.0
27759,2021-04-08 11:55:00,252.8,253.27,252.68,253.2422,104911.0
27758,2021-04-08 12:00:00,253.2,253.4,252.8106,252.8274,107115.0
27757,2021-04-08 12:05:00,252.81,253.22,252.7,252.95,114767.0
27756,2021-04-08 12:10:00,252.95,253.1199,252.87,252.9,60927.0
27755,2021-04-08 12:15:00,252.8749,253.5605,252.79,253.535,116916.0
27754,2021-04-08 12:20:00,253.5399,254.06,253.53,253.735,182284.0
