,time,open,high,low,close,volume
15672,2021-04-08 09:00:00,196.41,196.41,196.41,196.41,100.0
15671,2021-04-08 09:35:00,194.14,194.5,194.14,194.4656,27334.0
15670,2021-04-08 09:40:00,194.51,194.51,193.73,193.83,10502.0
15669,2021-04-08 09:45:00,193.89,194.05,193.53,193.98,10783.0
15668,2021-04-08 09:50:00,193.98,194.77,193.89,194.6775,19004.0
15667,2021-04-08 09:55:00,194.58,194.6567,193.89,193.89,8110.0
15666,2021-04-08 10:00:00,193.88,194.0,193.71,193.71,11072.0
15665,2021-04-08 10:05:00,193.71,193.86,193.57,193.65,16272.0
15664,2021-04-08 10:10:00,193.77,193.87,193.31,193.3127,6641.0
15663,2021-04-08 10:15:00,193.4,193.87,193.4,193.43,12114.0
15662,2021-04-08 10:20:00,193.42,193.55,193.21,193.52,9098.0
15661,2021-04-08 10:25:00,193.52,193.64,193.26,193.61,6769.0
15660,2021-04-08 10:30:00,193.5,193.71,193.5,193.6,5318.0
15659,2021-04-08 10:35:00,193.52,193.56,193.23,193.56,9351.0
15658,2021-04-08 10:40:00,193.61,193.69,193.53,193.56,7596.0
15657,2021-04-08 10:45:00,193.55,193.6,193.29,193.29,7487.0
15656,2021-04-08 10:50:00,193.36,193.68,193.33,193.64,9145.0
15655,2021-04-08 10:55:00,193.6,193.73,193.56,193.67,5659.0
15654,2021-04-08 11:00:00,193.67,193.67,193.2,193.2,7909.0
15653,2021-04-08 11:05:00,193.22,193.39,193.21,193.39,8478.0
15652,2021-04-08 11:10:00,193.35,193.7,193.35,193.39,4963.0
15651,2021-04-08 11:15:00,193.44,193.4599,193.13,193.33,11800.0
15650,2021-04-08 11:20:00,193.335,193.45,193.3,193.3,4591.0
15649,2021-04-08 11:25:00,193.31,193.39,193.16,193.22,5897.0
15648,2021-04-08 11:30:00,193.19,193.25,192.95,193.019,12710.0
15647,2021-04-08 11:35:00,193.015,193.04,192.61,192.63,11418.0
15646,2021-04-08 11:40:00,192.655,192.71,192.28,192.33,28479.0
15645,2021-04-08 11:45:00,192.21,192.27,192.13,192.27,18097.0
15644,2021-04-08 11:50:00,192.27,192.32,192.0,192.06,12036.0
15643,2021-04-08 11:55:00,192.06,192.34,192.06,192.21,7912.0
15642,2021-04-08 12:00:00,192.16,192.35,192.13,192.335,9108.0
15641,2021-04-08 12:05:00,192.31,192.31,192.215,192.285,5672.0
15640,2021-04-08 12:10:00,192.18,192.21,192.03,192.16,12773.0
15639,2021-04-08 12:15:00,192.13,192.33,192.1,192.18,5832.0
15638,2021-04-08 12:20:00,192.165,192.22,192.05,192.1925,6484.0
15637,2021-04-08 12:25:00,192.22,192.22,191.9799,191.9799,8393.0
15636,2021-04-08 12:30:00,191.93,191.9799,191.6,191.65,6939.0
15635,2021-04-08 12:35:00,191.63,191.63,191.41,191.41,10870.0
15634,2021-04-08 12:40:00,191.4,191.52,191.33,191.44,8078.0
15633,2021-04-08 12:45:00,191.445,191.75,191.38,191.71,15763.0
15632,2021-04-08 12:50:00,191.73,191.81,191.61,191.61,4758.0
15631,2021-04-08 12:55:00,191.56,191.63,191.505,191.55,6591.0
15630,2021-04-08 13:00:00,191.57,191.57,191.37,191.38,10956.0
15629,2021-04-08 13:05:00,191.38,191.39,191.27,191.3,11313.0
15628,2021-04-08 13:10:00,191.3,191.3,191.18,191.29,7496.0
15627,2021-04-08 13:15:00,191.28,191.3,191.17,191.24,7117.0
15626,2021-04-08 13:20:00,191.23,191.23,191.01,191.07,18722.0
15625,2021-04-08 13:25:00,191.11,191.85,191.03,191.85,63287.0
15624,2021-04-08 13:30:00,191.82,192.12,191.81,192.04,7991.0
15623,2021-04-08 13:35:00,192.0,192.1,191.85,192.051,8064.0
15622,2021-04-08 13:40:00,192.0628,192.12,191.9,191.99,6558.0
15621,2021-04-08 13:45:00,192.06,192.16,191.95,192.0,7840.0
15620,2021-04-08 13:50:00,192.0,192.27,192.0,192.27,7172.0
15619,2021-04-08 13:55:00,192.22,192.56,192.22,192.56,7440.0
15618,2021-04-08 14:00:00,192.55,192.66,192.46,192.64,7577.0
15617,2021-04-08 14:05:00,192.65,192.65,192.21,192.2129,8534.0
15616,2021-04-08 14:10:00,192.08,192.296,192.0,192.25,6111.0
15615,2021-04-08 14:15:00,192.1988,192.33,192.1988,192.3,5676.0
15614,2021-04-08 14:20:00,192.33,192.34,192.15,192.29,7677.0
15613,2021-04-08 14:25:00,192.32,192.32,192.18,192.22,4918.0
15612,2021-04-08 14:30:00,192.2141,192.29,192.12,192.13,6299.0
15611,2021-04-08 14:35:00,191.98,192.21,191.9776,192.21,5952.0
15610,2021-04-08 14:40:00,192.18,192.35,192.16,192.335,7437.0
15609,2021-04-08 14:45:00,192.3027,192.45,192.28,192.39,7668.0
15608,2021-04-08 14:50:00,192.39,192.46,192.3645,192.43200000000002,8172.0
