,time,open,high,low,close,volume,
48531,4/16/20 7:05,8.64,8.64,8.64,8.64,201,
48530,4/16/20 7:10,8.6,8.7,8.6,8.7,700,
48529,4/16/20 7:40,8.7,8.7,8.7,8.7,104,
48528,4/16/20 8:05,8.7,8.73,8.5201,8.73,5350,
48527,4/16/20 8:10,8.74,8.74,8.68,8.68,623,
48526,4/16/20 8:15,8.68,8.68,8.68,8.68,184,
48525,4/16/20 8:20,8.5301,8.5301,8.5301,8.5301,516,
48524,4/16/20 8:35,8.74,8.75,8.74,8.75,300,
48523,4/16/20 8:50,8.75,8.75,8.75,8.75,246,
48522,4/16/20 9:00,8.75,8.75,8.75,8.75,100,
48521,4/16/20 9:10,8.7,8.7,8.7,8.7,348,
48520,4/16/20 9:15,8.69,8.69,8.69,8.69,143,
48519,4/16/20 9:20,8.68,8.68,8.56,8.57,1308,
48518,4/16/20 9:25,8.6,8.6,8.6,8.6,266,
48517,4/16/20 9:30,8.6,8.62,8.6,8.62,5178,
48516,4/16/20 9:35,8.6,8.63,8.41,8.41,245399,
48515,4/16/20 9:40,8.41,8.44,8.29,8.38,102310,
48514,4/16/20 9:45,8.39,8.57,8.389,8.49,111168,
48513,4/16/20 9:50,8.48,8.515,8.4,8.45,79791,
48512,4/16/20 9:55,8.45,8.49,8.37,8.375,80312,
48511,4/16/20 10:00,8.375,8.39,8.31,8.315,118384,
48510,4/16/20 10:05,8.32,8.35,8.26,8.28,92652,
48509,4/16/20 10:10,8.27,8.34,8.265,8.31,83680,
48508,4/16/20 10:15,8.32,8.38,8.27,8.27,77205,
48507,4/16/20 10:20,8.2731,8.32,8.23,8.26,99565,
48506,4/16/20 10:25,8.255,8.38,8.23,8.375,53474,
48505,4/16/20 10:30,8.38,8.41,8.31,8.3999,85480,
48504,4/16/20 10:35,8.395,8.45,8.345,8.38,68363,
48503,4/16/20 10:40,8.385,8.42,8.33,8.37,87974,
48502,4/16/20 10:45,8.365,8.43,8.35,8.42,41148,
48501,4/16/20 10:50,8.42,8.42,8.365,8.37,65823,
48500,4/16/20 10:55,8.37,8.4,8.36,8.38,53166,
48499,4/16/20 11:00,8.385,8.395,8.36,8.36,55739,
48498,4/16/20 11:05,8.36,8.395,8.35,8.38,73583,
48497,4/16/20 11:10,8.38,8.46,8.365,8.4432,66832,
48496,4/16/20 11:15,8.445,8.46,8.43,8.435,50778,
48495,4/16/20 11:20,8.435,8.45,8.43,8.44,44083,
48494,4/16/20 11:25,8.435,8.44,8.3206,8.33,134590,
48493,4/16/20 11:30,8.325,8.38,8.31,8.32,138250,
48492,4/16/20 11:35,8.32,8.32,8.26,8.27,72693,
48491,4/16/20 11:40,8.265,8.32,8.26,8.32,59592,
48490,4/16/20 11:45,8.32,8.38,8.304,8.32,69587,
48489,4/16/20 11:50,8.3101,8.35,8.3,8.35,35652,
48488,4/16/20 11:55,8.345,8.46,8.3445,8.46,72045,
48487,4/16/20 12:00,8.455,8.47,8.36,8.3917,64170,
48486,4/16/20 12:05,8.4,8.43,8.395,8.43,42185,
48485,4/16/20 12:10,8.42,8.43,8.39,8.39,44173,
48484,4/16/20 12:15,8.38,8.4,8.35,8.355,53001,
48483,4/16/20 12:20,8.355,8.36,8.33,8.34,81402,
48482,4/16/20 12:25,8.34,8.36,8.32,8.3596,59206,
48481,4/16/20 12:30,8.3524,8.39,8.335,8.3424,75115,
48480,4/16/20 12:35,8.34,8.345,8.293,8.335,57597,
48479,4/16/20 12:40,8.34,8.37,8.339,8.365,60780,
48478,4/16/20 12:45,8.36,8.4,8.34,8.34,68135,
48477,4/16/20 12:50,8.3499,8.3499,8.28,8.29,74819,
48476,4/16/20 12:55,8.295,8.3,8.26,8.27,50790,
48475,4/16/20 13:00,8.27,8.31,8.26,8.29,76503,
48474,4/16/20 13:05,8.29,8.3,8.27,8.3,40648,
48473,4/16/20 13:10,8.3,8.32,8.28,8.28,46789,
48472,4/16/20 13:15,8.28,8.29,8.2301,8.29,53690,
48471,4/16/20 13:20,8.285,8.3,8.2501,8.265,46123,
48470,4/16/20 13:25,8.27,8.29,8.26,8.28,51722,
48469,4/16/20 13:30,8.27,8.28,8.26,8.28,66367,
48468,4/16/20 13:35,8.28,8.3,8.275,8.295,44717,
48467,4/16/20 13:40,8.2969,8.31,8.26,8.27,75156,
48466,4/16/20 13:45,8.27,8.3,8.27,8.295,43387,
48465,4/16/20 13:50,8.3,8.3,8.26,8.26,78250,
48464,4/16/20 13:55,8.255,8.26,8.25,8.26,30650,
48463,4/16/20 14:00,8.26,8.27,8.22,8.2545,90103,
48462,4/16/20 14:05,8.25,8.27,8.22,8.27,84400,
48461,4/16/20 14:10,8.265,8.27,8.25,8.265,63669,
48460,4/16/20 14:15,8.27,8.27,8.23,8.23,43118,
48459,4/16/20 14:20,8.235,8.27,8.2322,8.245,86523,
48458,4/16/20 14:25,8.25,8.25,8.2,8.23,71538,
48457,4/16/20 14:30,8.22,8.25,8.2,8.23,65360,
48456,4/16/20 14:35,8.225,8.25,8.22,8.25,57446,
