,time,open,high,low,close,volume
15773,2021-04-08 09:30:00,45.04,45.06,45.04,45.06,1600.0
15772,2021-04-08 09:35:00,45.06,45.12,44.96,45.08,106146.0
15771,2021-04-08 09:40:00,45.08,45.24,45.08,45.215,155199.0
15770,2021-04-08 09:45:00,45.21,45.245,45.0,45.03,89975.0
15769,2021-04-08 09:50:00,45.025,45.23,45.025,45.1808,55864.0
15768,2021-04-08 09:55:00,45.18,45.26,45.15,45.26,68915.0
15767,2021-04-08 10:00:00,45.26,45.28,45.13,45.14,115276.0
15766,2021-04-08 10:05:00,45.145,45.2107,45.105,45.11,68771.0
15765,2021-04-08 10:10:00,45.12,45.13,45.04,45.05,54148.0
15764,2021-04-08 10:15:00,45.05,45.155,45.05,45.115,39708.0
15763,2021-04-08 10:20:00,45.105,45.11,45.05,45.095,35560.0
15762,2021-04-08 10:25:00,45.095,45.14,45.085,45.135,27402.0
15761,2021-04-08 10:30:00,45.135,45.14,45.03,45.135,56079.0
15760,2021-04-08 10:35:00,45.135,45.14,45.065,45.1,38431.0
15759,2021-04-08 10:40:00,45.105,45.13,45.05,45.06,72795.0
15758,2021-04-08 10:45:00,45.06,45.075,44.935,44.935,58874.0
15757,2021-04-08 10:50:00,44.94,45.02,44.88,45.01,406489.0
15756,2021-04-08 10:55:00,45.005,45.1,45.005,45.085,41954.0
15755,2021-04-08 11:00:00,45.09,45.13,45.06,45.1,39839.0
15754,2021-04-08 11:05:00,45.1,45.105,45.02,45.035,39141.0
15753,2021-04-08 11:10:00,45.035,45.06,45.015,45.015,54144.0
15752,2021-04-08 11:15:00,45.01,45.07,44.99,45.07,41136.0
15751,2021-04-08 11:20:00,45.085,45.095,45.03,45.095,52409.0
15750,2021-04-08 11:25:00,45.1,45.16,45.09,45.14,76391.0
15749,2021-04-08 11:30:00,45.135,45.155,45.11,45.145,32859.0
15748,2021-04-08 11:35:00,45.15,45.17,45.07,45.095,53627.0
15747,2021-04-08 11:40:00,45.095,45.105,45.055,45.06,22163.0
15746,2021-04-08 11:45:00,45.05,45.05,44.96,44.98,36338.0
15745,2021-04-08 11:50:00,44.98,45.0,44.925,44.995,73164.0
15744,2021-04-08 11:55:00,44.99,45.06,44.99,45.04,31527.0
15743,2021-04-08 12:00:00,45.045,45.095,45.04,45.04,38212.0
15742,2021-04-08 12:05:00,45.04,45.04,44.99,45.03,27746.0
15741,2021-04-08 12:10:00,45.025,45.04,44.98,45.005,67731.0
15740,2021-04-08 12:15:00,45.005,45.07,45.0,45.07,34395.0
15739,2021-04-08 12:20:00,45.065,45.13,45.06,45.12,32689.0
15738,2021-04-08 12:25:00,45.111000000000004,45.125,45.05,45.075,29333.0
15737,2021-04-08 12:30:00,45.08,45.09,45.04,45.05,21027.0
15736,2021-04-08 12:35:00,45.055,45.09,45.05,45.075,25612.0
15735,2021-04-08 12:40:00,45.07,45.11,45.06,45.11,45681.0
15734,2021-04-08 12:45:00,45.1,45.14,45.09,45.1,20955.0
15733,2021-04-08 12:50:00,45.11,45.1326,45.11,45.12,16415.0
15732,2021-04-08 12:55:00,45.125,45.13,45.08,45.1,16822.0
15731,2021-04-08 13:00:00,45.095,45.095,45.05,45.075,23109.0
15730,2021-04-08 13:05:00,45.075,45.0872,45.045,45.0668,63170.0
15729,2021-04-08 13:10:00,45.06,45.11,45.04,45.11,22628.0
15728,2021-04-08 13:15:00,45.11,45.125,45.1,45.12,19904.0
15727,2021-04-08 13:20:00,45.11,45.11,45.06,45.08,24032.0
15726,2021-04-08 13:25:00,45.0842,45.11,45.0842,45.105,20217.0
15725,2021-04-08 13:30:00,45.105,45.125,45.1,45.125,16107.0
15724,2021-04-08 13:35:00,45.12,45.125,45.1,45.12,58515.0
15723,2021-04-08 13:40:00,45.125,45.165,45.125,45.165,32811.0
15722,2021-04-08 13:45:00,45.17,45.18,45.13,45.15,70919.0
15721,2021-04-08 13:50:00,45.155,45.17,45.12,45.125,81397.0
15720,2021-04-08 13:55:00,45.12,45.17,45.12,45.158,36765.0
15719,2021-04-08 14:00:00,45.155,45.17,45.145,45.165,24531.0
15718,2021-04-08 14:05:00,45.165,45.165,45.115,45.12,52144.0
15717,2021-04-08 14:10:00,45.12,45.19,45.12,45.165,31182.0
15716,2021-04-08 14:15:00,45.165,45.17,45.145,45.145,14377.0
15715,2021-04-08 14:20:00,45.15,45.155,45.1,45.125,24772.0
15714,2021-04-08 14:25:00,45.125,45.13,45.095,45.11,20628.0
15713,2021-04-08 14:30:00,45.115,45.115,45.035,45.07,69327.0
15712,2021-04-08 14:35:00,45.07,45.14,45.06,45.135,22572.0
15711,2021-04-08 14:40:00,45.14,45.14,45.07,45.1,50205.0
15710,2021-04-08 14:45:00,45.09,45.12,45.09,45.095,25831.0
15709,2021-04-08 14:50:00,45.095,45.11,45.06,45.065,30149.0
15708,2021-04-08 14:55:00,45.07,45.1,45.07,45.085,29260.0
15707,2021-04-08 15:00:00,45.08,45.12,45.06,45.11,33708.0
15706,2021-04-08 15:05:00,45.115,45.14,45.1,45.115,25634.0
15705,2021-04-08 15:10:00,45.115,45.12,45.025,45.03,47206.0
15704,2021-04-08 15:15:00,45.0368,45.05,45.015,45.05,41313.0
15703,2021-04-08 15:20:00,45.04,45.07,45.035,45.05,24977.0
15702,2021-04-08 15:25:00,45.055,45.06,45.03,45.045,26377.0
15701,2021-04-08 15:30:00,45.045,45.06,45.0149,45.04,29583.0
15700,2021-04-08 15:35:00,45.05,45.065,45.035,45.065,35152.0
15699,2021-04-08 15:40:00,45.065,45.065,44.97,44.975,68611.0
