,time,open,high,low,close,volume
15594,2021-04-12 04:25:00,60.17,60.17,60.17,60.17,500.0
15593,2021-04-12 04:45:00,60.5,60.5,60.5,60.5,300.0
15592,2021-04-12 04:55:00,60.5,60.5,60.5,60.5,200.0
15591,2021-04-12 06:15:00,60.5,60.5,60.5,60.5,500.0
15590,2021-04-12 07:00:00,60.49,60.49,60.49,60.49,400.0
15589,2021-04-12 07:05:00,60.4,60.4,60.4,60.4,392.0
15588,2021-04-12 07:35:00,60.42,60.42,60.42,60.42,188.0
15587,2021-04-12 07:40:00,60.35,60.35,60.35,60.35,400.0
15586,2021-04-12 08:10:00,60.18,60.18,60.18,60.18,100.0
15585,2021-04-12 08:55:00,60.33,60.4,60.22,60.33,2303.0
15584,2021-04-12 09:05:00,60.3,60.33,60.27,60.33,1205.0
15583,2021-04-12 09:10:00,60.27,60.27,60.27,60.27,100.0
15582,2021-04-12 09:25:00,60.36,60.36,60.36,60.36,200.0
15581,2021-04-12 09:30:00,60.5,60.5,60.5,60.5,242.0
15580,2021-04-12 09:35:00,60.26,60.6,60.25,60.6,207857.0
15579,2021-04-12 09:40:00,60.58,60.78,60.55,60.75,67680.0
15578,2021-04-12 09:45:00,60.73,60.78,60.6,60.73,35021.0
15577,2021-04-12 09:50:00,60.77,60.93,60.77,60.92,37997.0
15576,2021-04-12 09:55:00,60.92,60.94,60.75,60.75,60992.0
15575,2021-04-12 10:00:00,60.77,60.96,60.71,60.94,41258.0
15574,2021-04-12 10:05:00,60.93,60.94,60.77,60.83,41903.0
15573,2021-04-12 10:10:00,60.8399,60.84,60.69,60.72,25780.0
15572,2021-04-12 10:15:00,60.74,60.79,60.65,60.76,28609.0
15571,2021-04-12 10:20:00,60.78,60.85,60.71,60.76,42264.0
15570,2021-04-12 10:25:00,60.75,60.87,60.72,60.84,32018.0
15569,2021-04-12 10:30:00,60.84,60.915,60.84,60.86,28331.0
15568,2021-04-12 10:35:00,60.85,60.94,60.83,60.83,45383.0
15567,2021-04-12 10:40:00,60.83,60.88,60.8,60.87,26989.0
15566,2021-04-12 10:45:00,60.86,61.03,60.86,60.97,34957.0
15565,2021-04-12 10:50:00,60.96,60.96,60.82,60.85,26792.0
15564,2021-04-12 10:55:00,60.85,60.85,60.73,60.74,44882.0
15563,2021-04-12 11:00:00,60.74,60.84,60.7,60.82,25499.0
15562,2021-04-12 11:05:00,60.82,60.9,60.82,60.86,26103.0
15561,2021-04-12 11:10:00,60.87,60.96,60.85,60.93,20033.0
15560,2021-04-12 11:15:00,60.94,60.955,60.86,60.89,26015.0
15559,2021-04-12 11:20:00,60.89,60.89,60.74,60.74,33415.0
15558,2021-04-12 11:25:00,60.74,60.77,60.67,60.7543,34243.0
15557,2021-04-12 11:30:00,60.77,60.8692,60.74,60.77,26278.0
15556,2021-04-12 11:35:00,60.76,60.81,60.72,60.79,57185.0
15555,2021-04-12 11:40:00,60.78,60.87,60.76,60.85,25790.0
15554,2021-04-12 11:45:00,60.84,60.87,60.76,60.77,26135.0
15553,2021-04-12 11:50:00,60.76,60.82,60.74,60.82,23052.0
15552,2021-04-12 11:55:00,60.82,60.83,60.78,60.79,19885.0
15551,2021-04-12 12:00:00,60.8,60.8,60.72,60.73,20959.0
15550,2021-04-12 12:05:00,60.72,60.79,60.71,60.785,16058.0
15549,2021-04-12 12:10:00,60.78,60.78,60.72,60.765,19442.0
15548,2021-04-12 12:15:00,60.765,60.77,60.7,60.71,24377.0
15547,2021-04-12 12:20:00,60.71,60.8,60.71,60.7539,20091.0
15546,2021-04-12 12:25:00,60.75,60.775,60.72,60.73,22560.0
15545,2021-04-12 12:30:00,60.74,60.745,60.69,60.7,18178.0
15544,2021-04-12 12:35:00,60.69,60.74,60.65,60.73,21762.0
15543,2021-04-12 12:40:00,60.7298,60.73,60.695,60.72,15363.0
15542,2021-04-12 12:45:00,60.7151,60.76,60.71,60.73,26809.0
15541,2021-04-12 12:50:00,60.72,60.74,60.7,60.71,21065.0
15540,2021-04-12 12:55:00,60.71,60.75,60.7,60.74,18646.0
15539,2021-04-12 13:00:00,60.74,60.74,60.69,60.695,18807.0
15538,2021-04-12 13:05:00,60.695,60.74,60.68,60.69,16676.0
15537,2021-04-12 13:10:00,60.69,60.7,60.68,60.69,12210.0
15536,2021-04-12 13:15:00,60.7,60.71,60.66,60.67,21137.0
15535,2021-04-12 13:20:00,60.67,60.67,60.64,60.66,21218.0
15534,2021-04-12 13:25:00,60.665,60.73,60.66,60.675,21888.0
15533,2021-04-12 13:30:00,60.68,60.71,60.66,60.66,18084.0
15532,2021-04-12 13:35:00,60.67,60.69,60.62,60.65,23069.0
15531,2021-04-12 13:40:00,60.655,60.66,60.6,60.61,19605.0
15530,2021-04-12 13:45:00,60.615,60.68,60.615,60.655,22817.0
15529,2021-04-12 13:50:00,60.66,60.68,60.645,60.68,27838.0
15528,2021-04-12 13:55:00,60.67,60.7,60.64,60.68,24810.0
15527,2021-04-12 14:00:00,60.68,60.73,60.66,60.71,26219.0
15526,2021-04-12 14:05:00,60.72,60.79,60.7175,60.78,23669.0
15525,2021-04-12 14:10:00,60.78,60.825,60.78,60.82,26007.0
15524,2021-04-12 14:15:00,60.81,60.81,60.77,60.78,17936.0
15523,2021-04-12 14:20:00,60.77,60.77,60.72,60.75,17050.0
15522,2021-04-12 14:25:00,60.755,60.77,60.745,60.745,20207.0
15521,2021-04-12 14:30:00,60.74,60.77,60.7,60.765,34917.0
15520,2021-04-12 14:35:00,60.76,60.795,60.75,60.775,22514.0
15519,2021-04-12 14:40:00,60.77,60.78,60.745,60.77,22448.0
15518,2021-04-12 14:45:00,60.7601,60.765,60.69,60.725,29025.0
15517,2021-04-12 14:50:00,60.725,60.75,60.72,60.735,29329.0
15516,2021-04-12 14:55:00,60.74,60.78,60.735,60.765,24143.0
15515,2021-04-12 15:00:00,60.77,60.82,60.77,60.815,24719.0
15514,2021-04-12 15:05:00,60.82,60.825,60.78,60.82,27628.0
15513,2021-04-12 15:10:00,60.82,60.89,60.82,60.86,31606.0
15512,2021-04-12 15:15:00,60.86,60.86,60.79,60.83,26882.0
15511,2021-04-12 15:20:00,60.83,60.85,60.78,60.84,33612.0
15510,2021-04-12 15:25:00,60.845,60.86,60.81,60.835,42031.0
15509,2021-04-12 15:30:00,60.83,60.95,60.825,60.945,73014.0
15508,2021-04-12 15:35:00,60.95,61.025,60.93,61.025,60756.0
15507,2021-04-12 15:40:00,61.025,61.0399,60.98,61.03,55873.0
15506,2021-04-12 15:45:00,61.02,61.045,60.92,60.94,63550.0
15505,2021-04-12 15:50:00,60.94,60.985,60.93,60.9627,65800.0
15504,2021-04-12 15:55:00,60.96,60.96,60.91,60.9499,130648.0
15503,2021-04-12 16:00:00,60.95,61.03,60.9,60.97,256309.0
15502,2021-04-12 16:05:00,60.97,60.97,60.97,60.97,149829.0
15501,2021-04-12 16:10:00,60.97,60.97,60.97,60.97,1190.0
15500,2021-04-12 16:20:00,60.97,60.97,60.97,60.97,13965.0
15499,2021-04-13 08:40:00,60.97,60.97,60.97,60.97,3300.0
15498,2021-04-13 09:30:00,61.17,61.17,61.17,61.17,222.0
15497,2021-04-13 09:35:00,60.92,61.09,60.81,61.02,245471.0
15496,2021-04-13 09:40:00,61.05,61.21,61.03,61.21,24760.0
15495,2021-04-13 09:45:00,61.2,61.25,61.09,61.09,56838.0
15494,2021-04-13 09:50:00,61.07,61.13,60.96,61.12,32196.0
15493,2021-04-13 09:55:00,61.12,61.17,61.08,61.14,67219.0
15492,2021-04-13 10:00:00,61.13,61.29,61.13,61.27,20586.0
15491,2021-04-13 10:05:00,61.27,61.44,61.25,61.4125,62861.0
