,time,open,high,low,close,volume
17512,2021-04-12 07:40:00,2260.31,2260.31,2260.31,2260.31,133.0
17511,2021-04-12 08:05:00,2257.618,2257.618,2257.618,2257.618,386.0
17510,2021-04-12 08:15:00,2259.16,2259.16,2259.16,2259.16,1010.0
17509,2021-04-12 09:05:00,2262.0,2262.0,2262.0,2262.0,992.0
17508,2021-04-12 09:10:00,2261.5,2261.5,2261.5,2261.5,258.0
17507,2021-04-12 09:30:00,2259.0,2259.0,2247.67,2247.67,1819.0
17506,2021-04-12 09:35:00,2254.12,2256.885,2249.44,2250.5,84381.0
17505,2021-04-12 09:40:00,2249.14,2254.6413,2248.7601,2253.75,31070.0
17504,2021-04-12 09:45:00,2254.0,2256.35,2250.525,2252.41,32750.0
17503,2021-04-12 09:50:00,2252.22,2252.4199,2245.0001,2246.05,31999.0
17502,2021-04-12 09:55:00,2245.0,2245.0,2238.7401,2242.59,28098.0
17501,2021-04-12 10:00:00,2242.95,2250.83,2242.95,2250.83,25067.0
17500,2021-04-12 10:05:00,2251.77,2255.93,2251.72,2255.28,18038.0
17499,2021-04-12 10:10:00,2255.3855,2255.665,2251.02,2251.02,18699.0
17498,2021-04-12 10:15:00,2251.246,2251.77,2249.0084,2249.53,10232.0
17497,2021-04-12 10:20:00,2248.77,2250.18,2248.01,2249.93,13367.0
17496,2021-04-12 10:25:00,2251.5208,2252.63,2250.86,2250.9,5999.0
17495,2021-04-12 10:30:00,2250.9,2252.49,2248.09,2249.1,15154.0
17494,2021-04-12 10:35:00,2247.61,2255.42,2247.61,2254.51,27715.0
17493,2021-04-12 10:40:00,2254.21,2254.21,2249.07,2250.845,28362.0
17492,2021-04-12 10:45:00,2250.79,2252.43,2248.3543,2250.8,17743.0
17491,2021-04-12 10:50:00,2250.67,2253.94,2250.15,2253.61,9166.0
17490,2021-04-12 10:55:00,2253.67,2255.585,2252.615,2254.48,9388.0
17489,2021-04-12 11:00:00,2253.24,2253.35,2250.81,2250.81,8329.0
17488,2021-04-12 11:05:00,2250.48,2252.88,2249.64,2251.72,12915.0
17487,2021-04-12 11:10:00,2251.6,2252.67,2249.45,2251.435,13622.0
17486,2021-04-12 11:15:00,2251.0,2251.0,2248.785,2249.08,9262.0
17485,2021-04-12 11:20:00,2248.95,2248.95,2246.07,2246.77,8566.0
17484,2021-04-12 11:25:00,2247.42,2247.76,2246.19,2247.16,7609.0
17483,2021-04-12 11:30:00,2246.17,2247.0,2245.79,2246.115,7515.0
17482,2021-04-12 11:35:00,2245.96,2246.1,2243.0479,2243.56,11999.0
17481,2021-04-12 11:40:00,2242.73,2243.38,2241.06,2242.62,10453.0
17480,2021-04-12 11:45:00,2241.17,2243.03,2240.14,2243.03,8659.0
17479,2021-04-12 11:50:00,2242.67,2242.67,2238.97,2239.09,20684.0
17478,2021-04-12 11:55:00,2238.68,2239.8,2236.04,2238.8,11425.0
17477,2021-04-12 12:00:00,2240.36,2243.0,2239.88,2243.0,5362.0
17476,2021-04-12 12:05:00,2243.1016,2244.3775,2242.1377,2244.3775,13320.0
17475,2021-04-12 12:10:00,2243.53,2244.1069,2241.47,2242.305,10579.0
17474,2021-04-12 12:15:00,2241.85,2243.0602,2241.36,2242.58,5193.0
17473,2021-04-12 12:20:00,2242.66,2244.08,2240.2,2241.9895,11633.0
17472,2021-04-12 12:25:00,2241.72,2243.22,2241.62,2242.425,7532.0
17471,2021-04-12 12:30:00,2243.24,2246.2972,2243.04,2245.0389999999998,6735.0
17470,2021-04-12 12:35:00,2245.696,2247.49,2244.76,2247.49,12311.0
17469,2021-04-12 12:40:00,2247.165,2247.28,2242.8124,2243.74,8170.0
17468,2021-04-12 12:45:00,2243.59,2245.6011,2243.59,2244.31,4095.0
17467,2021-04-12 12:50:00,2243.85,2243.85,2242.74,2243.04,4368.0
17466,2021-04-12 12:55:00,2242.57,2243.28,2242.57,2243.0,7000.0
17465,2021-04-12 13:00:00,2243.32,2243.57,2242.0,2242.0,4089.0
17464,2021-04-12 13:05:00,2242.13,2243.47,2242.13,2242.45,7916.0
17463,2021-04-12 13:10:00,2242.31,2242.31,2240.53,2240.53,8595.0
17462,2021-04-12 13:15:00,2241.235,2241.415,2237.31,2238.15,17012.0
17461,2021-04-12 13:20:00,2237.745,2238.92,2237.735,2238.19,8688.0
17460,2021-04-12 13:25:00,2238.69,2238.69,2234.21,2234.43,14599.0
17459,2021-04-12 13:30:00,2234.03,2237.0,2233.98,2236.78,6495.0
17458,2021-04-12 13:35:00,2236.08,2237.0307,2235.5025,2236.3481,7259.0
17457,2021-04-12 13:40:00,2236.41,2236.41,2234.56,2236.1,6122.0
17456,2021-04-12 13:45:00,2235.055,2235.065,2233.0,2233.0,6361.0
17455,2021-04-12 13:50:00,2233.32,2235.11,2233.08,2234.74,7905.0
17454,2021-04-12 13:55:00,2234.26,2234.95,2233.5,2233.69,5602.0
17453,2021-04-12 14:00:00,2235.9552,2235.9552,2231.45,2232.89,8031.0
17452,2021-04-12 14:05:00,2232.81,2236.25,2232.81,2235.4078,8647.0
17451,2021-04-12 14:10:00,2234.8601,2236.18,2234.71,2235.4210000000003,3551.0
17450,2021-04-12 14:15:00,2235.12,2235.854,2234.6791,2234.83,3930.0
17449,2021-04-12 14:20:00,2235.0,2236.33,2234.395,2236.06,6442.0
17448,2021-04-12 14:25:00,2236.83,2237.0,2234.11,2234.84,5722.0
17447,2021-04-12 14:30:00,2234.0,2238.0,2233.7,2237.85,7824.0
17446,2021-04-12 14:35:00,2237.545,2238.062,2236.85,2237.52,7341.0
17445,2021-04-12 14:40:00,2236.92,2237.69,2236.92,2237.165,2831.0
17444,2021-04-12 14:45:00,2237.82,2239.1,2236.82,2239.1,12894.0
17443,2021-04-12 14:50:00,2238.42,2238.42,2236.21,2236.21,4971.0
17442,2021-04-12 14:55:00,2236.15,2236.15,2233.3,2233.98,5564.0
17441,2021-04-12 15:00:00,2233.5999,2234.215,2232.72,2233.28,6757.0
17440,2021-04-12 15:05:00,2232.8,2232.86,2231.6,2231.755,9041.0
17439,2021-04-12 15:10:00,2231.7042,2234.52,2231.7042,2233.81,12623.0
17438,2021-04-12 15:15:00,2233.69,2233.69,2229.85,2229.85,9875.0
17437,2021-04-12 15:20:00,2229.27,2230.02,2227.82,2229.71,16731.0
17436,2021-04-12 15:25:00,2229.71,2234.445,2229.71,2234.445,13326.0
17435,2021-04-12 15:30:00,2234.29,2235.525,2234.005,2234.57,12330.0
17434,2021-04-12 15:35:00,2234.13,2234.13,2232.0,2233.77,13588.0
17433,2021-04-12 15:40:00,2233.78,2237.0,2233.78,2235.69,13442.0
17432,2021-04-12 15:45:00,2235.4,2238.33,2233.7,2238.33,19045.0
17431,2021-04-12 15:50:00,2239.56,2243.02,2239.56,2241.2,42888.0
17430,2021-04-12 15:55:00,2241.09,2245.6,2240.71,2242.39,36488.0
17429,2021-04-12 16:00:00,2241.565,2246.76,2240.08,2245.23,72793.0
17428,2021-04-12 16:05:00,2244.62,2245.23,2244.62,2245.23,34760.0
17427,2021-04-12 16:10:00,2244.0,2244.0,2244.0,2244.0,711.0
17426,2021-04-12 16:15:00,2244.62,2244.62,2244.5,2244.5,550.0
17425,2021-04-12 16:20:00,2244.62,2244.62,2244.62,2244.62,6939.0
17424,2021-04-12 16:40:00,2244.57,2244.57,2244.57,2244.57,105.0
17423,2021-04-12 17:00:00,2245.16,2245.16,2245.16,2245.16,147.0
17422,2021-04-13 07:25:00,2244.62,2244.62,2244.62,2244.62,288.0
17421,2021-04-13 08:40:00,2251.0,2251.0,2251.0,2251.0,123.0
17420,2021-04-13 09:05:00,2255.0,2255.0,2255.0,2255.0,177.0
17419,2021-04-13 09:25:00,2255.0,2255.0,2255.0,2255.0,118.0
17418,2021-04-13 09:30:00,2250.33,2250.33,2246.72,2246.72,1613.0
17417,2021-04-13 09:35:00,2250.99,2253.3681,2246.11,2252.54,48894.0
17416,2021-04-13 09:40:00,2253.3,2259.8748,2253.3,2256.99,29081.0
17415,2021-04-13 09:45:00,2257.05,2257.05,2249.01,2251.71,25997.0
17414,2021-04-13 09:50:00,2252.85,2253.69,2251.4763,2251.4763,16236.0
17413,2021-04-13 09:55:00,2251.9924,2256.385,2251.57,2255.47,27224.0
17412,2021-04-13 10:00:00,2255.5,2258.0,2254.98,2258.0,19940.0
17411,2021-04-13 10:05:00,2258.5,2258.5,2255.78,2255.84,13695.0
17410,2021-04-13 10:10:00,2256.3219,2260.86,2255.59,2260.86,11170.0
17409,2021-04-13 10:15:00,2259.73,2263.47,2259.73,2262.63,15340.0
17408,2021-04-13 10:20:00,2262.895,2263.02,2258.215,2258.6,9763.0
17407,2021-04-13 10:25:00,2257.85,2258.215,2252.0,2253.21,15931.0
17406,2021-04-13 10:30:00,2253.07,2255.81,2253.07,2255.58,14393.0
17405,2021-04-13 10:35:00,2255.64,2258.0868,2254.33,2254.33,12374.0
17404,2021-04-13 10:40:00,2254.305,2255.34,2252.63,2252.9203,7128.0
17403,2021-04-13 10:45:00,2254.76,2255.25,2253.26,2253.26,17006.0
17402,2021-04-13 10:50:00,2253.1,2253.49,2250.43,2251.46,15493.0
17401,2021-04-13 10:55:00,2251.9799,2252.06,2246.0,2246.0,15227.0
17400,2021-04-13 11:00:00,2246.225,2246.6925,2243.05,2246.34,40362.0
17399,2021-04-13 11:05:00,2246.1,2248.1981,2244.68,2246.23,21086.0
17398,2021-04-13 11:10:00,2247.03,2250.35,2247.03,2250.35,8455.0
17397,2021-04-13 11:15:00,2249.57,2250.18,2248.635,2249.76,8013.0
