,time,open,high,low,close,volume
43043,4/16/20 8:15,15.1399,15.1399,15.1399,15.1399,125
43042,4/16/20 8:40,15,15,15,15,334
43041,4/16/20 9:05,15.05,15.05,15.05,15.05,727
43040,4/16/20 9:15,15.07,15.07,15.07,15.07,222
43039,4/16/20 9:20,15.07,15.09,15.07,15.09,1700
43038,4/16/20 9:25,15.05,15.05,15.05,15.05,400
43037,4/16/20 9:30,15.1,15.1,14.99,14.99,3010
43036,4/16/20 9:35,15.05,15.08,14.81,14.811,352583
43035,4/16/20 9:40,14.815,14.855,14.77,14.825,124254
43034,4/16/20 9:45,14.83,15.02,14.83,14.995,156850
43033,4/16/20 9:50,15,15.06,14.95,14.97,125751
43032,4/16/20 9:55,14.965,14.98,14.9,14.915,90246
43031,4/16/20 10:00,14.91,14.92,14.77,14.77,123123
43030,4/16/20 10:05,14.775,14.8,14.73,14.73,275105
43029,4/16/20 10:10,14.73,14.75,14.64,14.64,130352
43028,4/16/20 10:15,14.64,14.69,14.55,14.5645,152535
43027,4/16/20 10:20,14.565,14.6402,14.56,14.62,131774
43026,4/16/20 10:25,14.625,14.71,14.62,14.6979,102550
43025,4/16/20 10:30,14.695,14.845,14.695,14.835,177870
43024,4/16/20 10:35,14.83,14.835,14.72,14.73,127122
43023,4/16/20 10:40,14.7366,14.77,14.7,14.755,121272
43022,4/16/20 10:45,14.755,14.83,14.725,14.8,89060
43021,4/16/20 10:50,14.79,14.83,14.76,14.815,147806
43020,4/16/20 10:55,14.815,14.85,14.79,14.84,96242
43019,4/16/20 11:00,14.84,14.92,14.84,14.885,65270
43018,4/16/20 11:05,14.885,14.92,14.875,14.89,70961
43017,4/16/20 11:10,14.895,14.935,14.87,14.9,124255
43016,4/16/20 11:15,14.905,14.91,14.84,14.84,58659
43015,4/16/20 11:20,14.84,14.87,14.825,14.87,114866
43014,4/16/20 11:25,14.87,14.8796,14.835,14.86,97852
43013,4/16/20 11:30,14.86,14.875,14.825,14.83,77443
43012,4/16/20 11:35,14.825,14.905,14.825,14.855,122521
43011,4/16/20 11:40,14.8569,14.89,14.8323,14.88,199337
43010,4/16/20 11:45,14.885,14.915,14.88,14.9,61921
43009,4/16/20 11:50,14.91,14.94,14.83,14.84,160218
43008,4/16/20 11:55,14.84,14.93,14.825,14.925,115797
43007,4/16/20 12:00,14.9299,14.95,14.89,14.895,104534
43006,4/16/20 12:05,14.89,14.905,14.835,14.84,64079
43005,4/16/20 12:10,14.85,14.9,14.825,14.87,188476
43004,4/16/20 12:15,14.86,14.91,14.86,14.86,68777
43003,4/16/20 12:20,14.86,14.88,14.815,14.825,97235
43002,4/16/20 12:25,14.825,14.84,14.795,14.795,87471
43001,4/16/20 12:30,14.8,14.82,14.7701,14.8,64278
43000,4/16/20 12:35,14.795,14.795,14.75,14.77,66076
42999,4/16/20 12:40,14.77,14.785,14.74,14.76,70588
42998,4/16/20 12:45,14.75,14.8,14.75,14.78,64234
42997,4/16/20 12:50,14.79,14.82,14.755,14.815,63487
42996,4/16/20 12:55,14.81,14.835,14.8,14.82,55240
42995,4/16/20 13:00,14.82,14.85,14.8,14.845,41833
42994,4/16/20 13:05,14.84,14.88,14.84,14.85,64264
42993,4/16/20 13:10,14.85,14.9,14.85,14.86,58468
42992,4/16/20 13:15,14.865,14.92,14.86,14.91,73207
42991,4/16/20 13:20,14.915,14.94,14.905,14.94,51424
42990,4/16/20 13:25,14.9399,15.04,14.935,15.005,103354
42989,4/16/20 13:30,15.005,15.1,14.985,15.075,137051
42988,4/16/20 13:35,15.075,15.11,15,15.005,168037
42987,4/16/20 13:40,15.0053,15.01,14.93,14.941,121805
42986,4/16/20 13:45,14.945,15.02,14.9447,15.02,86494
42985,4/16/20 13:50,15.02,15.08,15.01,15.0625,87062
42984,4/16/20 13:55,15.06,15.09,15.035,15.08,83826
42983,4/16/20 14:00,15.0794,15.13,15.065,15.13,100289
42982,4/16/20 14:05,15.12,15.155,15.09,15.15,99517
42981,4/16/20 14:10,15.16,15.23,15.13,15.215,126750
42980,4/16/20 14:15,15.215,15.3,15.19,15.2759,170916
42979,4/16/20 14:20,15.275,15.315,15.255,15.255,101636
42978,4/16/20 14:25,15.26,15.275,15.19,15.205,134732
42977,4/16/20 14:30,15.2,15.255,15.195,15.23,112838
42976,4/16/20 14:35,15.23,15.2818,15.2,15.215,129477
42975,4/16/20 14:40,15.215,15.28,15.2,15.27,116639
42974,4/16/20 14:45,15.275,15.285,15.24,15.275,70451
42973,4/16/20 14:50,15.28,15.295,15.22,15.25,98976
42972,4/16/20 14:55,15.2488,15.27,15.215,15.27,88690
42971,4/16/20 15:00,15.26,15.27,15.24,15.245,134626
42970,4/16/20 15:05,15.25,15.2655,15.22,15.255,103482
42969,4/16/20 15:10,15.255,15.27,15.23,15.26,112892
42968,4/16/20 15:15,15.265,15.28,15.245,15.275,190609
42967,4/16/20 15:20,15.27,15.3,15.24,15.25,134145
42966,4/16/20 15:25,15.255,15.26,15.22,15.255,144989
42965,4/16/20 15:30,15.255,15.29,15.22,15.2897,117692
42964,4/16/20 15:35,15.285,15.34,15.2801,15.305,224246
42963,4/16/20 15:40,15.31,15.34,15.28,15.285,187584
42962,4/16/20 15:45,15.29,15.31,15.26,15.28,218247
42961,4/16/20 15:50,15.28,15.285,15.22,15.245,313232
42960,4/16/20 15:55,15.22,15.275,15.21,15.255,515231
42959,4/16/20 16:00,15.255,15.27,15.205,15.2301,810301
