,time,open,high,low,close,volume
42982,4/16/20 7:05,179.16,179.16,179.16,179.16,100
42981,4/16/20 7:10,179.14,179.14,179.14,179.14,1104
42980,4/16/20 7:20,179.22,179.22,179.21,179.21,350
42979,4/16/20 7:35,179.21,179.21,179.11,179.11,1725
42978,4/16/20 7:45,178.75,178.75,178.75,178.75,103
42977,4/16/20 7:55,178.95,178.95,178.74,178.74,515
42976,4/16/20 8:05,178.8001,178.8001,178.8,178.8,431
42975,4/16/20 8:10,178.6,178.6,178.6,178.6,461
42974,4/16/20 8:20,178.4,178.4,178.18,178.18,878
42973,4/16/20 8:25,178.9,178.9,178.9,178.9,163
42972,4/16/20 8:35,179.01,179.01,179.01,179.01,333
42971,4/16/20 8:40,179.03,179.22,179.03,179.22,314
42970,4/16/20 8:45,179.22,179.22,178.8,178.8,702
42969,4/16/20 8:50,179.25,179.25,178.4,179,3441
42968,4/16/20 8:55,178.5,178.97,178.5,178.97,450
42967,4/16/20 9:05,179.06,179.07,179.06,179.07,576
42966,4/16/20 9:10,179.41,179.41,179.41,179.41,1224
42965,4/16/20 9:15,179.41,179.5,179.41,179.5,973
42964,4/16/20 9:20,179.77,179.77,179.16,179.16,1824
42963,4/16/20 9:25,179,179,178.55,178.55,1450
42962,4/16/20 9:30,179.5,179.5,176.5,176.5,2497
42961,4/16/20 9:35,177,177.5,173.71,173.93,310712
42960,4/16/20 9:40,173.93,174.57,172.77,172.83,186657
42959,4/16/20 9:45,172.95,174.35,172.89,174.18,169164
42958,4/16/20 9:50,174.28,174.38,172.38,172.51,133374
42957,4/16/20 9:55,172.42,173.525,172.27,173.3,134759
42956,4/16/20 10:00,173.4,173.43,172.66,172.73,88172
42955,4/16/20 10:05,172.78,173.09,172.46,172.88,111745
42954,4/16/20 10:10,172.89,174.06,172.8,173.39,81703
42953,4/16/20 10:15,173.377,173.78,172.961,173.73,52219
42952,4/16/20 10:20,173.715,174.74,173.7,174.24,71317
42951,4/16/20 10:25,174.272,175.25,174.15,175.25,130610
42950,4/16/20 10:30,175.28,175.806,175.12,175.69,69574
42949,4/16/20 10:35,175.71,175.83,175.2,175.3924,39580
42948,4/16/20 10:40,175.369,176.36,175.35,175.45,154492
42947,4/16/20 10:45,175.45,176.2881,175.2032,175.88,34380
42946,4/16/20 10:50,175.8,176.81,175.4701,176.81,62544
42945,4/16/20 10:55,176.7,176.9838,176.53,176.91,60608
42944,4/16/20 11:00,176.955,177.15,176.6,177.065,76118
42943,4/16/20 11:05,177,177.19,175.95,176.15,101586
42942,4/16/20 11:10,176.2,176.8,176.115,176.4649,50065
42941,4/16/20 11:15,176.5,176.51,175.575,175.575,53777
42940,4/16/20 11:20,175.62,176.455,175.52,176.27,52656
42939,4/16/20 11:25,176.2644,176.45,176,176.1,49862
42938,4/16/20 11:30,176.13,176.87,175.92,176.17,56944
42937,4/16/20 11:35,176.24,176.32,175.92,176.21,42372
42936,4/16/20 11:40,176.12,176.38,175.91,175.9641,35110
42935,4/16/20 11:45,175.99,176.3,175.9,175.96,36920
42934,4/16/20 11:50,175.98,176.15,175.82,176.1,31609
42933,4/16/20 11:55,176.07,177.4,176.06,177.4,38012
42932,4/16/20 12:00,177.43,178.08,177.37,178.08,46594
