,time,open,high,low,close,volume,{
49750,,,,,,,
49749,,,,,,," year2month12. """
49748,2020-04-13 04:45:00,40.0,40.0,40.0,40.0,360.0,
49747,2020-04-13 05:45:00,40.05,40.05,40.05,40.05,100.0,
49746,2020-04-13 06:55:00,40.08,40.08,40.08,40.08,1600.0,
49745,2020-04-13 07:05:00,40.4,40.4,40.4,40.4,600.0,
49744,2020-04-13 07:45:00,40.85,40.85,40.85,40.85,5070.0,
49743,2020-04-13 07:55:00,40.85,40.85,40.85,40.85,100.0,
49742,2020-04-13 08:05:00,40.5,40.6501,40.5,40.6501,814.0,
49741,2020-04-13 08:10:00,40.99,40.99,40.99,40.99,659.0,
49740,2020-04-13 08:20:00,40.89,40.89,40.89,40.89,500.0,
49739,2020-04-13 08:25:00,40.9,40.9,40.9,40.9,260.0,
49738,2020-04-13 08:45:00,41.08,41.08,41.08,41.08,1000.0,
49737,2020-04-13 08:50:00,41.15,41.18,41.15,41.18,336.0,
49736,2020-04-13 08:55:00,41.14,41.18,41.14,41.18,4362.0,
49735,2020-04-13 09:00:00,41.21,41.21,41.18,41.18,734.0,
49734,2020-04-13 09:15:00,41.16,41.3264,41.16,41.3264,4065.0,
49733,2020-04-13 09:25:00,41.08,41.35,41.08,41.35,2004.0,
49732,2020-04-13 09:30:00,41.03,41.03,40.9,40.9,3629.0,
49731,2020-04-13 09:35:00,40.88,41.0,40.49,40.51,397569.0,
49730,2020-04-13 09:40:00,40.5,40.5,40.04,40.29,243880.0,
49729,2020-04-13 09:45:00,40.29,40.33,39.7,39.78,204577.0,
49728,2020-04-13 09:50:00,39.8,39.85,39.45,39.66,105221.0,
49727,2020-04-13 09:55:00,39.63,40.0,39.61,39.9706,112229.0,
49726,2020-04-13 10:00:00,39.98,40.14,39.77,39.79,107668.0,
49725,2020-04-13 10:05:00,39.795,40.025,39.74,40.01,311425.0,
49724,2020-04-13 10:10:00,40.01,40.15,39.92,39.97,226021.0,
49723,2020-04-13 10:15:00,39.97,39.995,39.71,39.83,190446.0,
49722,2020-04-13 10:20:00,39.81,39.81,39.305,39.33,156078.0,
49721,2020-04-13 10:25:00,39.3329,39.49,39.265,39.325,185134.0,
49720,2020-04-13 10:30:00,39.33,39.67,39.3,39.64,145384.0,
49719,2020-04-13 10:35:00,39.64,39.75,39.57,39.7,141405.0,
49718,2020-04-13 10:40:00,39.7,39.73,39.49,39.51,140533.0,
49717,2020-04-13 10:45:00,39.525,39.57,39.36,39.385,128211.0,
49716,2020-04-13 10:50:00,39.39,39.65,39.39,39.5,155114.0,
49715,2020-04-13 10:55:00,39.52,39.56,39.37,39.41,87297.0,
49714,2020-04-13 11:00:00,39.4,39.605,39.35,39.57,163409.0,
49713,2020-04-13 11:05:00,39.57,39.645,39.43,39.57,135137.0,
49712,2020-04-13 11:10:00,39.57,39.57,39.25,39.295,104632.0,
49711,2020-04-13 11:15:00,39.3,39.48,39.3,39.46,78477.0,
49710,2020-04-13 11:20:00,39.47,39.7,39.47,39.68,118523.0,
49709,2020-04-13 11:25:00,39.675,39.77,39.59,39.64,258602.0,
49708,2020-04-13 11:30:00,39.63,39.72,39.6,39.685,101907.0,
49707,2020-04-13 11:35:00,39.69,39.775,39.645,39.74,91250.0,
49706,2020-04-13 11:40:00,39.73,39.825,39.68,39.73,102472.0,
49705,2020-04-13 11:45:00,39.75,39.76,39.6047,39.69,81150.0,
49704,2020-04-13 11:50:00,39.69,39.88,39.69,39.875,95340.0,
49703,2020-04-13 11:55:00,39.87,39.99,39.84,39.985,112803.0,
49702,2020-04-13 12:00:00,39.97,40.125,39.93,40.005,153808.0,
49701,2020-04-13 12:05:00,40.01,40.27,39.97,40.23,118259.0,
49700,2020-04-13 12:10:00,40.23,40.3,40.18,40.23,83582.0,
49699,2020-04-13 12:15:00,40.24,40.35,40.2,40.35,143561.0,
49698,2020-04-13 12:20:00,40.345,40.385,40.26,40.33,83676.0,
49697,2020-04-13 12:25:00,40.34,40.37,40.195,40.21,89596.0,
49696,2020-04-13 12:30:00,40.22,40.28,40.085,40.09,77574.0,
49695,2020-04-13 12:35:00,40.08,40.08,39.935,39.98,80653.0,
49694,2020-04-13 12:40:00,39.98,40.06,39.94,39.97,67022.0,
