,time,open,high,low,close,volume
29923,2021-04-08 04:10:00,36.03,36.03,36.0,36.0,381.0
29922,2021-04-08 04:25:00,35.99,35.99,35.99,35.99,254.0
29921,2021-04-08 04:35:00,36.0,36.0,36.0,36.0,172.0
29920,2021-04-08 04:40:00,35.99,35.99,35.99,35.99,1000.0
29919,2021-04-08 04:55:00,36.08,36.08,36.05,36.05,2215.0
29918,2021-04-08 05:00:00,36.04,36.04,36.04,36.04,193.0
29917,2021-04-08 05:10:00,36.04,36.04,36.04,36.04,175.0
29916,2021-04-08 05:25:00,36.06,36.06,36.06,36.06,249.0
29915,2021-04-08 05:35:00,36.04,36.04,36.03,36.03,657.0
29914,2021-04-08 05:45:00,36.03,36.03,36.03,36.03,312.0
29913,2021-04-08 05:50:00,36.03,36.03,36.02,36.02,685.0
29912,2021-04-08 05:55:00,36.03,36.03,36.03,36.03,100.0
29911,2021-04-08 06:10:00,36.03,36.03,36.03,36.03,100.0
29910,2021-04-08 06:35:00,36.02,36.02,36.01,36.01,852.0
29909,2021-04-08 06:45:00,35.95,35.95,35.95,35.95,226.0
29908,2021-04-08 07:05:00,36.0,36.0,35.91,35.91,5077.0
29907,2021-04-08 07:10:00,35.91,35.91,35.91,35.91,374.0
29906,2021-04-08 07:15:00,35.87,35.91,35.87,35.91,751.0
29905,2021-04-08 07:20:00,35.9,35.9,35.9,35.9,850.0
29904,2021-04-08 07:25:00,35.9,35.91,35.9,35.91,963.0
29903,2021-04-08 07:30:00,35.91,35.91,35.91,35.91,140.0
29902,2021-04-08 07:35:00,35.91,35.94,35.91,35.94,1959.0
29901,2021-04-08 07:40:00,35.94,35.94,35.94,35.94,599.0
29900,2021-04-08 07:45:00,35.93,35.93,35.93,35.93,100.0
29899,2021-04-08 07:55:00,35.95,35.96,35.95,35.96,827.0
29898,2021-04-08 08:00:00,35.95,35.95,35.95,35.95,986.0
29897,2021-04-08 08:05:00,35.91,35.95,35.9,35.95,2465.0
29896,2021-04-08 08:10:00,35.95,35.96,35.95,35.96,1201.0
29895,2021-04-08 08:15:00,35.96,35.98,35.96,35.97,4572.0
29894,2021-04-08 08:25:00,35.96,35.98,35.96,35.98,908.0
29893,2021-04-08 08:30:00,35.97,35.97,35.95,35.95,953.0
29892,2021-04-08 08:40:00,35.97,35.98,35.97,35.98,1451.0
29891,2021-04-08 08:45:00,35.97,35.99,35.97,35.99,2135.0
29890,2021-04-08 08:50:00,35.98,35.98,35.98,35.98,759.0
29889,2021-04-08 08:55:00,35.98,35.98,35.98,35.98,1340.0
