,time,open,high,low,close,volume
43441,4/13/20 7:00,114.07,114.07,114.07,114.07,500
43440,4/13/20 7:05,114.43,114.5,114.43,114.5,445
43439,4/13/20 7:20,114.5,114.5,114.5,114.5,365
43438,4/13/20 7:50,114,114,114,114,105
43437,4/13/20 8:00,114.75,114.75,114.75,114.75,105
43436,4/13/20 8:05,114.73,114.73,114,114,230
43435,4/13/20 8:15,114.5,114.5,114.5,114.5,150
43434,4/13/20 8:25,114.01,114.01,113.81,113.81,628
43433,4/13/20 8:40,114.15,114.15,114.15,114.15,103
43432,4/13/20 8:45,114.14,114.14,114.14,114.14,322
43431,4/13/20 8:55,113.98,113.98,113.98,113.98,103
43430,4/13/20 9:00,113.99,113.99,113.99,113.99,440
43429,4/13/20 9:15,114.7,114.7,114.7,114.7,260
43428,4/13/20 9:25,115,115,115,115,297
43427,4/13/20 9:30,114.09,114.09,113.97,113.97,909
43426,4/13/20 9:35,113.61,114.135,113.16,113.9,403524
43425,4/13/20 9:40,113.8654,114.65,113.74,114.2875,165551
43424,4/13/20 9:45,114.28,114.43,113.87,114.05,124992
43423,4/13/20 9:50,114.02,114.38,113.96,114.14,137041
43422,4/13/20 9:55,114.2,114.44,114.07,114.18,52634
43421,4/13/20 10:00,114.135,114.22,113.77,113.83,84261
43420,4/13/20 10:05,113.84,114.09,113.62,114.0622,46998
43419,4/13/20 10:10,114.08,114.24,113.93,114.24,37680
43418,4/13/20 10:15,114.2,114.23,113.92,114.07,64536
43417,4/13/20 10:20,114.0501,114.12,113.945,114.07,77001
43416,4/13/20 10:25,114.07,114.21,113.94,114.06,89607
43415,4/13/20 10:30,114.04,114.16,113.87,113.88,81169
43414,4/13/20 10:35,113.89,114.18,113.71,114.13,61674
43413,4/13/20 10:40,114.12,114.14,113.79,113.85,56868
43412,4/13/20 10:45,113.83,113.96,113.78,113.93,44697
43411,4/13/20 10:50,113.95,114,113.84,113.925,83933
43410,4/13/20 10:55,113.93,114.37,113.92,114.32,111316
43409,4/13/20 11:00,114.31,114.89,114.28,114.875,100695
43408,4/13/20 11:05,114.85,114.94,114.56,114.92,85020
43407,4/13/20 11:10,114.93,115.07,114.74,114.83,64851
43406,4/13/20 11:15,114.87,114.87,114.62,114.73,56290
43405,4/13/20 11:20,114.725,114.78,114.5237,114.73,53516
43404,4/13/20 11:25,114.74,114.86,114.63,114.825,65310
43403,4/13/20 11:30,114.82,114.9699,114.66,114.96,46254
43402,4/13/20 11:35,114.965,114.9856,114.7654,114.8682,55172
43401,4/13/20 11:40,114.85,115.13,114.82,114.87,48605
43400,4/13/20 11:45,114.89,114.94,114.69,114.79,39154
43399,4/13/20 11:50,114.81,115.12,114.81,115.06,32521
43398,4/13/20 11:55,115.07,115.22,114.96,115.2,44306
43397,4/13/20 12:00,115.19,115.37,115.06,115.2,52983
43396,4/13/20 12:05,115.19,115.38,115.09,115.275,63187
43395,4/13/20 12:10,115.265,115.34,114.63,114.72,100121
43394,4/13/20 12:15,114.705,114.84,114.55,114.72,43858
43393,4/13/20 12:20,114.68,114.71,114.59,114.66,45261
43392,4/13/20 12:25,114.69,114.8,114.56,114.75,48139
43391,4/13/20 12:30,114.74,114.77,114.57,114.58,61879
43390,4/13/20 12:35,114.58,114.64,114.47,114.47,49806
43389,4/13/20 12:40,114.48,114.74,114.45,114.57,69865
43388,4/13/20 12:45,114.57,114.65,114.33,114.475,84274
43387,4/13/20 12:50,114.47,114.7176,114.45,114.54,45276
43386,4/13/20 12:55,114.54,114.54,114.2,114.21,59952
43385,4/13/20 13:00,114.215,114.25,114.08,114.17,61161
43384,4/13/20 13:05,114.17,114.18,113.43,113.47,98204
43383,4/13/20 13:10,113.445,113.88,113.41,113.81,50031
43382,4/13/20 13:15,113.835,113.84,113.45,113.45,46322
43381,4/13/20 13:20,113.4591,113.57,113.38,113.54,60170
43380,4/13/20 13:25,113.53,113.72,113.52,113.65,52865
43379,4/13/20 13:30,113.655,113.83,113.62,113.81,47892
43378,4/13/20 13:35,113.79,114.06,113.76,114.02,62517
43377,4/13/20 13:40,113.98,114.03,113.88,114,72215
43376,4/13/20 13:45,113.99,114.14,113.97,113.99,85410
43375,4/13/20 13:50,113.992,114.05,113.86,114.02,53952
43374,4/13/20 13:55,114.03,114.05,113.88,114,57255
43373,4/13/20 14:00,114,114.08,113.96,113.97,61170
43372,4/13/20 14:05,113.98,114.07,113.75,113.98,69586
43371,4/13/20 14:10,114,114.351,113.9901,114.06,63602
43370,4/13/20 14:15,114.065,114.14,113.86,113.87,93151
43369,4/13/20 14:20,113.88,114.21,113.8,114.21,122326
43368,4/13/20 14:25,114.21,114.26,113.95,114.08,55609
43367,4/13/20 14:30,114.08,114.21,113.89,114.21,41055
43366,4/13/20 14:35,114.21,114.52,114.21,114.4172,73137
43365,4/13/20 14:40,114.44,114.58,114.39,114.5,44379
43364,4/13/20 14:45,114.5,114.61,114.45,114.59,51191
43363,4/13/20 14:50,114.61,114.84,114.59,114.79,65420
43362,4/13/20 14:55,114.8,115.09,114.78,115.06,65373
43361,4/13/20 15:00,115.07,115.29,115.01,115.27,63821
43360,4/13/20 15:05,115.27,115.28,114.7797,114.8513,59656
43359,4/13/20 15:10,114.86,115,114.77,114.88,51370
43358,4/13/20 15:15,114.87,115.12,114.82,115.04,35109
43357,4/13/20 15:20,114.99,115.65,114.91,115.62,88462
43356,4/13/20 15:25,115.6,115.83,115.59,115.725,66925
43355,4/13/20 15:30,115.72,115.8,115.64,115.775,79208
43354,4/13/20 15:35,115.77,116.26,115.69,116.25,342175
43353,4/13/20 15:40,116.23,116.31,116.04,116.286,110470
43352,4/13/20 15:45,116.3,116.4318,116.1339,116.35,102479
43351,4/13/20 15:50,116.36,116.71,116.255,116.69,168647
43350,4/13/20 15:55,116.57,116.75,115.65,115.88,212511
43349,4/13/20 16:00,115.89,116.12,115.68,116,280469
43348,4/13/20 16:05,115.95,115.95,115.95,115.95,416809
43347,4/13/20 16:20,116.09,116.09,116.09,116.09,500
43346,4/13/20 16:25,116.1002,116.1002,116.1,116.1,1107
43345,4/13/20 16:30,116.1,116.1,116.1,116.1,540
43344,4/13/20 16:45,116.19,116.19,116.19,116.19,530
43343,4/13/20 17:15,115.95,115.95,115.95,115.95,1327
43342,4/13/20 18:25,115.95,115.95,115.95,115.95,223
43341,4/13/20 19:30,116,116,116,116,667
43340,4/14/20 4:45,117,117,116.99,116.99,606
43339,4/14/20 4:50,116.9,116.9,116.9,116.9,500
43338,4/14/20 5:10,116.88,116.88,116.87,116.87,500
43337,4/14/20 5:25,116.89,116.89,116.89,116.89,534
43336,4/14/20 5:35,117,117,117,117,279
43335,4/14/20 6:40,117.04,117.1,117.04,117.1,400
43334,4/14/20 6:45,117,117,117,117,500
43333,4/14/20 6:55,117,117,116.5,116.5,1265
43332,4/14/20 7:00,116.99,117,116.99,117,606
43331,4/14/20 7:05,116.95,116.99,116.95,116.99,359
43330,4/14/20 7:10,116.99,116.99,116.99,116.99,220
43329,4/14/20 7:20,116.99,117,116.99,117,801
43328,4/14/20 7:30,117,117,117,117,500
43327,4/14/20 7:35,117.05,117.05,117.05,117.05,107
43326,4/14/20 7:40,117.05,117.05,116.9,117,2036
43325,4/14/20 7:45,116.99,116.99,116.99,116.99,200
43324,4/14/20 7:55,116.93,116.99,116.93,116.99,610
43323,4/14/20 8:05,116.23,116.23,116.23,116.23,1000
43322,4/14/20 8:15,117.05,117.05,117,117,1197
43321,4/14/20 8:20,117.3,117.3,117.3,117.3,693
43320,4/14/20 8:35,117,117,117,117,442
43319,4/14/20 8:40,116.66,116.66,116.6,116.6,668
43318,4/14/20 8:45,116.6,116.6,116.5,116.5,1246
43317,4/14/20 9:05,117,117,117,117,201
43316,4/14/20 9:20,116.99,117.01,116.99,117,590
43315,4/14/20 9:25,116.8,116.8,116.5,116.67,2046
43314,4/14/20 9:30,116.5,118.2,115.9,118.15,7368
43313,4/14/20 9:35,118.76,118.76,116.66,116.91,633777
43312,4/14/20 9:40,116.89,117.2,116.66,116.94,103154
43311,4/14/20 9:45,116.94,117.3,116.37,116.52,104106
43310,4/14/20 9:50,116.6,116.75,116.25,116.71,295994
43309,4/14/20 9:55,116.68,117.36,116.65,117.09,124710
43308,4/14/20 10:00,117.05,117.55,116.96,117.38,83101
43307,4/14/20 10:05,117.465,117.976,117.38,117.96,58406
43306,4/14/20 10:10,117.98,118.42,117.955,118.42,77050
43305,4/14/20 10:15,118.42,118.53,117.885,118.01,142803
43304,4/14/20 10:20,118,118.48,117.98,118.42,133004
43303,4/14/20 10:25,118.4599,118.4599,118.15,118.27,111579
43302,4/14/20 10:30,118.271,118.57,118.1275,118.52,92852
43301,4/14/20 10:35,118.52,118.8,118.52,118.72,89043
43300,4/14/20 10:40,118.72,118.9,118.665,118.89,110667
43299,4/14/20 10:45,118.9,118.98,118.8088,118.8905,73433
43298,4/14/20 10:50,118.9,119.08,118.61,118.72,166213
43297,4/14/20 10:55,118.75,119.22,118.75,119.1,122857
43296,4/14/20 11:00,119.1,119.6798,119.095,119.59,121553
43295,4/14/20 11:05,119.605,119.96,119.53,119.88,155137
43294,4/14/20 11:10,119.85,119.93,119.65,119.74,129297
43293,4/14/20 11:15,119.72,119.72,119.05,119.33,121431
43292,4/14/20 11:20,119.33,119.36,119.11,119.13,94613
43291,4/14/20 11:25,119.13,119.34,119.04,119.08,56557
43290,4/14/20 11:30,119.095,119.35,119.03,119.15,88624
43289,4/14/20 11:35,119.15,119.38,119.11,119.22,70551
43288,4/14/20 11:40,119.22,119.32,119.1,119.3,59114
43287,4/14/20 11:45,119.31,119.55,119.19,119.5,64169
43286,4/14/20 11:50,119.52,119.69,119.31,119.44,86795
43285,4/14/20 11:55,119.44,119.92,119.35,119.82,105166
43284,4/14/20 12:00,119.8,119.84,119.6226,119.78,61746
43283,4/14/20 12:05,119.8,120.37,119.8,120.365,326379
43282,4/14/20 12:10,120.35,120.47,120.23,120.39,139206
43281,4/14/20 12:15,120.385,120.45,120.06,120.06,133013
43280,4/14/20 12:20,120.07,120.66,120.07,120.625,180803
43279,4/14/20 12:25,120.62,120.63,120.455,120.565,84054
43278,4/14/20 12:30,120.58,120.83,120.41,120.4627,140911
43277,4/14/20 12:35,120.45,120.49,120.11,120.14,86136
43276,4/14/20 12:40,120.12,120.225,119.985,120,116774
43275,4/14/20 12:45,120,120.25,119.98,120.1,57268
43274,4/14/20 12:50,120.12,120.21,119.99,120.2,83326
43273,4/14/20 12:55,120.17,120.37,120.17,120.37,57940
43272,4/14/20 13:00,120.365,120.51,120.22,120.22,72296
43271,4/14/20 13:05,120.23,120.26,119.9902,120.16,48883
43270,4/14/20 13:10,120.15,120.28,120.0106,120.2,71550
43269,4/14/20 13:15,120.2,120.5,120.09,120.5,49140
43268,4/14/20 13:20,120.5,120.6156,120.4,120.54,70411
43267,4/14/20 13:25,120.56,120.8,120.51,120.775,105275
43266,4/14/20 13:30,120.78,120.87,120.69,120.72,88774
43265,4/14/20 13:35,120.72,120.87,120.715,120.8,103375
43264,4/14/20 13:40,120.79,120.85,120.61,120.78,80437
43263,4/14/20 13:45,120.79,121.11,120.79,120.855,199769
43262,4/14/20 13:50,120.87,121.18,120.856,121.12,100082
43261,4/14/20 13:55,121.105,121.26,121.035,121.235,123943
43260,4/14/20 14:00,121.22,121.23,120.9,120.99,88162
43259,4/14/20 14:05,121.02,121.07,120.81,120.86,76549
43258,4/14/20 14:10,120.8862,120.89,120.7,120.85,68031
43257,4/14/20 14:15,120.87,121.01,120.7552,120.9,63799
43256,4/14/20 14:20,120.89,121.18,120.89,121.02,73224
43255,4/14/20 14:25,121.03,121.14,121.01,121.1318,80254
43254,4/14/20 14:30,121.13,121.14,120.76,120.77,96953
43253,4/14/20 14:35,120.78,120.96,120.77,120.95,57317
43252,4/14/20 14:40,120.95,121.01,120.74,120.85,84374
43251,4/14/20 14:45,120.85,120.94,120.58,120.755,70509
43250,4/14/20 14:50,120.76,120.76,120.48,120.595,60018
43249,4/14/20 14:55,120.59,120.81,120.58,120.74,97877
