,time,open,high,low,close,volume
39091,4/16/20 8:25,516,516,515,515,524
39090,4/16/20 8:55,516.02,516.02,516.02,516.02,167
39089,4/16/20 9:30,516,517,516,517,266
39088,4/16/20 9:35,518.92,522.69,517.616,521.03,24522
39087,4/16/20 9:40,521.58,522.19,519.52,520.86,20590
39086,4/16/20 9:45,520.61,521.425,519.76,521.425,5719
39085,4/16/20 9:50,521.9,523.53,521.585,522.9818,9200
39084,4/16/20 9:55,523.17,524.33,521.66,522.53,14643
39083,4/16/20 10:00,523.05,524.03,522.06,523.27,12304
39082,4/16/20 10:05,523.34,523.34,519.03,519.885,8857
39081,4/16/20 10:10,520.74,521.45,518.63,521.45,9752
39080,4/16/20 10:15,520.54,522.165,520.28,521.9478,3519
39079,4/16/20 10:20,521.85,523.92,521.7,523.92,20462
39078,4/16/20 10:25,523.96,526.235,523.8364,524.365,23609
39077,4/16/20 10:30,524.365,525.12,523.01,524.56,6711
39076,4/16/20 10:35,525.1008,527.5,524.705,527.25,15920
39075,4/16/20 10:40,527.5,528.37,527.22,527.5,15495
39074,4/16/20 10:45,527.635,530.9928,527.28,530.02,39142
39073,4/16/20 10:50,530.51,533.99,530.49,532.1701,33395
39072,4/16/20 10:55,532.17,532.17,529.982,531,12071
39071,4/16/20 11:00,530.855,531.0395,530.35,530.76,15124
39070,4/16/20 11:05,530.57,532,530.21,530.97,19616
39069,4/16/20 11:10,531.045,531.37,530.2883,531.17,13062
39068,4/16/20 11:15,530.255,531.6894,529.7864,529.86,9749
39067,4/16/20 11:20,529.745,530.9806,529.665,530.59,18016
39066,4/16/20 11:25,530.58,530.98,529.85,530,10605
39065,4/16/20 11:30,530,530.3726,529.44,530.3726,7717
39064,4/16/20 11:35,530.38,531,529.785,530.5,14750
39063,4/16/20 11:40,530.61,530.63,529.58,529.88,13827
39062,4/16/20 11:45,529.85,531.63,529.44,530.99,9239
39061,4/16/20 11:50,530.88,531.5301,530.13,530.35,10392
39060,4/16/20 11:55,530.445,532.18,530.18,532.18,9275
