,time,open,high,low,close,volume
29551,4/16/20 9:35,3020,3039.4289,2990,2990,323
29550,4/16/20 9:40,2961.21,2961.21,2961.21,2961.21,1
29549,4/16/20 9:45,2997.51,3019.995,2996,3019.995,256
29548,4/16/20 9:50,3039.5579,3098.83,2989.9,3010,84
29547,4/16/20 9:55,3010.01,3044.96,3001.05,3001.05,9
29546,4/16/20 10:00,3025,3025,3001,3001.0001,23
29545,4/16/20 10:05,3001,3001,3000,3000,6
29544,4/16/20 10:10,2990,2999.99,2990,2999.99,2
29543,4/16/20 10:15,2999.84,3000,2980,2997.99,78
29542,4/16/20 10:20,2999.9999,2999.9999,2999.9999,2999.9999,1
29541,4/16/20 10:25,2985,2995,2985,2995,4
29540,4/16/20 10:30,2975,2975.01,2975,2975.01,2
29539,4/16/20 10:40,2985,2985,2985,2985,1
29538,4/16/20 10:45,2995,2995,2995,2995,2
29537,4/16/20 10:50,2995,3014.8537,2985.05,3014.8537,11
29536,4/16/20 10:55,2995,3014.99,2995,3010,4
29535,4/16/20 11:00,3014.9999,3015,2999.81,2999.95,18
29534,4/16/20 11:05,3005,3005,2990,2990.01,12
29533,4/16/20 11:10,3000,3000,2989,2997.72,12
29532,4/16/20 11:15,3003.05,3003.05,2992.39,2992.39,4
29531,4/16/20 11:20,2992.39,3003.05,2966.26,2978.12,444
29530,4/16/20 11:25,2982,2990,2975,2975,16
29529,4/16/20 11:30,2980,2985,2978,2978.01,23
29528,4/16/20 11:35,2981.847,2981.847,2981.847,2981.847,2
29527,4/16/20 11:40,2978,2978,2974,2975,11
29526,4/16/20 11:45,2975,2975,2975,2975,2
29525,4/16/20 11:55,2967.2,2975,2967.2,2975,14
29524,4/16/20 12:00,2975,2975,2966.19,2975,6
29523,4/16/20 12:05,2974.5,2974.5,2956.44,2956.44,2
29522,4/16/20 12:10,2965.72,2975,2956.44,2974.5,17
29521,4/16/20 12:15,2975,2975,2956.44,2956.44,7
29520,4/16/20 12:20,2965.72,2975,2956.44,2975,23
29519,4/16/20 12:25,2975,2975,2966,2973.5,7
29518,4/16/20 12:30,2968,2968,2962.0001,2962.0001,5
29517,4/16/20 12:35,2974.99,2974.99,2974.99,2974.99,1
29516,4/16/20 12:40,2965.02,2967.5,2964.99,2967.5,16
29515,4/16/20 12:45,2972.99,2972.99,2962,2962,8
29514,4/16/20 12:50,2965,2965,2960,2960,3
29513,4/16/20 12:55,2960,2960,2958.68,2958.68,5
29512,4/16/20 13:05,2963.5,2969.995,2957,2969.995,7
29511,4/16/20 13:15,2970,2975,2962,2975,17
29510,4/16/20 13:25,2974.99,2974.99,2974.99,2974.99,2
29509,4/16/20 13:30,2974.99,2975,2967.5,2967.5,10
29508,4/16/20 13:45,2960.05,2975,2960.05,2975,4
29507,4/16/20 13:50,2967.505,2975,2967.505,2975,5
29506,4/16/20 13:55,2967.51,2967.51,2960.01,2960.01,6
29505,4/16/20 14:00,2967.51,2967.53,2960.01,2967.51,7
29504,4/16/20 14:05,2967.53,2967.53,2960.015,2960.015,4
29503,4/16/20 14:10,2960.015,2965.005,2955,2960.01,30
29502,4/16/20 14:15,2956,2956,2934.11,2950,10
29501,4/16/20 14:20,2925,2943.745,2925,2937.72,6
29500,4/16/20 14:25,2937.72,2937.72,2937.72,2937.72,1
29499,4/16/20 14:30,2948.7,2949.58,2948.62,2948.62,3
29498,4/16/20 14:35,2940.3179,2950,2940.3179,2942,14
29497,4/16/20 14:45,2949.99,2949.99,2945,2945,4
29496,4/16/20 14:50,2949.9999,2949.9999,2942.53,2942.53,4
29495,4/16/20 14:55,2949.0126,2951.52,2943.04,2951.52,17
29494,4/16/20 15:00,2951.52,2951.52,2944.7975,2950.07,17
29493,4/16/20 15:05,2951.52,2951.52,2950.07,2950.07,3
29492,4/16/20 15:10,2960,2960,2960,2960,1
29491,4/16/20 15:15,2960,2960,2960,2960,2
29490,4/16/20 15:20,2955,2970,2955,2956.96,9
29489,4/16/20 15:25,2965,2970,2952.01,2970,4
29488,4/16/20 15:30,2961,2975,2961,2963.43,19
29487,4/16/20 15:35,2975,2975,2975,2975,2
29486,4/16/20 15:40,2975,2977,2965.76,2974.99,37
29485,4/16/20 15:45,2968.505,2975,2968.505,2975,3
29484,4/16/20 15:50,2975,2975,2968,2974,45
29483,4/16/20 15:55,2974.99,2975,2970,2970,35
29482,4/16/20 16:00,2970,2994.05,2963.48,2963.48,49
29481,4/16/20 16:05,2985.24,2985.24,2985.24,2985.24,1
29480,4/16/20 18:50,3083.89,3083.89,3083.89,3083.89,1
29479,4/17/20 9:25,3000,3000,3000,3000,1
29478,4/17/20 9:35,3001,3001,3001,3001,10
29477,4/17/20 9:40,3001.0001,3025,3001.0001,3025,2
29476,4/17/20 9:45,3050,3050,3050,3050,3
29475,4/17/20 9:50,3070,3071,3020,3070,8
29474,4/17/20 9:55,3005.5,3005.5,3005.5,3005.5,3
29473,4/17/20 10:00,3070.9898,3100,3054.005,3054.005,51
29472,4/17/20 10:05,3021,3021,3010,3010,4
29471,4/17/20 10:15,3011.0001,3099.9895,3011,3055.495,5
29470,4/17/20 10:20,3040,3040,3040,3040,1
29469,4/17/20 10:35,3035,3035,3035,3035,3
29468,4/17/20 10:40,3089.99,3089.99,3089.99,3089.99,1
29467,4/17/20 11:00,3050,3050,3050,3050,6
29466,4/17/20 11:05,3083.95,3083.95,3025.01,3025.7227,5
29465,4/17/20 11:20,3062.5,3062.5,3062.5,3062.5,1
29464,4/17/20 11:25,3089.4617,3089.4617,3035,3062.5,5
29463,4/17/20 11:30,3056.35,3056.35,3025,3025,19
29462,4/17/20 11:45,3025,3025,3025,3025,1
29461,4/17/20 11:50,3025.6692,3047.5,3025.6692,3047.5,3
29460,4/17/20 11:55,3047.5,3070,3025,3025,9
29459,4/17/20 12:00,3047.5,3047.5,3047.5,3047.5,1
29458,4/17/20 12:05,3025,3025,3025,3025,1
29457,4/17/20 12:10,3026,3026,3025,3025,2
29456,4/17/20 12:15,3025,3025.6641,3015.01,3025.6641,9
29455,4/17/20 12:20,3013.12,3019.56,2990.01,2990.01,14
29454,4/17/20 12:25,3025.49,3025.49,3005.82,3005.82,4
29453,4/17/20 12:30,3005.82,3025.99,2985.65,2986,23
29452,4/17/20 12:35,2986,3011.734,2986,3011.734,3
29451,4/17/20 12:45,2986,2986,2986,2986,1
29450,4/17/20 12:50,3025.9999,3026,2986,3026,21
29449,4/17/20 12:55,2999,2999,2992,2998.9517,8
29448,4/17/20 13:00,2992.5,3000,2992.5,3000,10
29447,4/17/20 13:05,3006.91,3006.91,3006.91,3006.91,1
29446,4/17/20 13:15,3027.38,3027.38,3001,3001.5,7
29445,4/17/20 13:20,3001.0001,3002.068,3001,3001,3
29444,4/17/20 13:25,3001.5,3053.76,3001,3053.76,5
29443,4/17/20 13:35,3001,3001,3001,3001,1
29442,4/17/20 13:40,3059.5,3059.5,3015.5,3015.5,5
29441,4/17/20 13:50,3031.06,3031.06,3031.06,3031.06,3
29440,4/17/20 13:55,3020,3020,3020,3020,2
29439,4/17/20 14:00,3020,3020,3020,3020,1
29438,4/17/20 14:05,3041.2854,3041.2854,3041.2854,3041.2854,1
29437,4/17/20 14:15,3020,3020,3020,3020,1
29436,4/17/20 14:20,3042.11,3042.11,3025,3031.055,4
29435,4/17/20 14:25,3036.055,3042.1,3020,3020,25
29434,4/17/20 14:30,3020,3042.11,3020,3042.11,3
29433,4/17/20 14:35,3020.01,3020.01,3020.01,3020.01,1
29432,4/17/20 14:50,3020.17,3036.01,3020,3020.01,8
29431,4/17/20 15:05,3046.96,3046.96,3020.08,3023.23,14
29430,4/17/20 15:10,3051.1,3051.1,3020,3023.23,8
29429,4/17/20 15:15,3036.8,3041.95,3020,3020,28
29428,4/17/20 15:20,3034.57,3034.57,3003,3003,14
29427,4/17/20 15:25,3000.27,3003.01,2985.24,2986,8
29426,4/17/20 15:30,2985.45,3046.87,2985.45,3046.87,4
29425,4/17/20 15:35,3046.8699,3046.8699,2992.62,2997.99,143
29424,4/17/20 15:40,2995.125,3005,2985.26,2985.26,13
29423,4/17/20 15:45,3005,3005,2985.32,3003,42
29422,4/17/20 15:50,3003,3005,2992.36,3002.525,30
29421,4/17/20 15:55,3000,3005,2995.5,3003.9999,81
29420,4/17/20 16:00,3001.5,3004.68,2985.24,2985.26,54
29419,4/20/20 9:35,2940,2989,2940,2989,6
29418,4/20/20 9:50,2989.9999,2989.9999,2950.005,2950.005,3
29417,4/20/20 9:55,2990,2990,2990,2990,2
29416,4/20/20 10:00,2970.3986,2990,2970.3986,2990,3
29415,4/20/20 10:05,3000,3000,2986.98,3000,7
29414,4/20/20 10:10,3015,3015,3015,3015,2
29413,4/20/20 10:15,3010,3050,3010,3010,3
29412,4/20/20 10:25,3030,3030,3030,3030,2
29411,4/20/20 10:30,3015,3015,3007.28,3007.28,14
29410,4/20/20 10:35,3015,3050,3004.57,3050,21
29409,4/20/20 10:40,3028.825,3050,3028.825,3050,2
29408,4/20/20 10:55,3030.605,3050,3009.2101,3032.11,11
29407,4/20/20 11:00,3049.85,3049.85,3049.85,3049.85,1
29406,4/20/20 11:05,3048.88,3055,3014.22,3035,7
29405,4/20/20 11:10,3035.01,3035.01,3015,3035,13
29404,4/20/20 11:15,3035,3035,3035,3035,5
29403,4/20/20 11:20,3035,3035,3035,3035,2
29402,4/20/20 11:25,3035,3035,3035,3035,2
29401,4/20/20 11:30,3035,3035,3035,3035,4
29400,4/20/20 11:35,3035,3035,3015.01,3015.01,4
29399,4/20/20 11:40,3035.95,3035.95,3016.9,3016.9,2
29398,4/20/20 11:45,3016.9,3035.95,3016.9,3035.95,5
29397,4/20/20 11:50,3035.95,3035.95,3035.95,3035.95,2
29396,4/20/20 11:55,3035.94,3035.94,3035.9,3035.94,3
29395,4/20/20 12:00,3039.8955,3039.8955,3016.9,3035.93,7
29394,4/20/20 12:05,3035.94,3035.94,3035.365,3035.365,2
29393,4/20/20 12:10,3035.365,3035.365,3029.6165,3035.365,7
29392,4/20/20 12:15,3035.365,3035.365,3017.4,3035.365,5
29391,4/20/20 12:20,3031.9845,3053.33,3018,3034.8961,23
29390,4/20/20 12:25,3025.5,3029,3025.5,3029,3
29389,4/20/20 12:30,3029,3029,3029,3029,8
29388,4/20/20 12:35,3029,3029,3022.5,3022.5,8
29387,4/20/20 12:40,3022.895,3027,3022.895,3027,9
29386,4/20/20 12:45,3022.895,3022.895,3022.895,3022.895,3
29385,4/20/20 12:50,3022.895,3027,3020.395,3023.935,29
29384,4/20/20 12:55,3023.935,3023.935,3020.88,3023.935,7
29383,4/20/20 13:00,3023.935,3023.935,3023.935,3023.935,4
29382,4/20/20 13:05,3023.935,3024.8546,3020.87,3020.87,7
29381,4/20/20 13:10,3020.87,3023.935,3020.87,3023.935,11
29380,4/20/20 13:15,3023.935,3024.582,3023.935,3024.582,5
29379,4/20/20 13:20,3022.435,3027.94,3022.435,3027.94,7
29378,4/20/20 13:25,3027.94,3027.94,3020.88,3020.88,3
29377,4/20/20 13:30,3023.94,3027,3020.89,3020.89,9
29376,4/20/20 13:35,3041.52,3041.52,3037.36,3037.36,3
29375,4/20/20 13:40,3037.36,3037.36,3025.445,3028,15
29374,4/20/20 13:45,3033.99,3033.99,3023,3023,2
29373,4/20/20 13:50,3034.99,3038.415,3024,3025.5,19
29372,4/20/20 13:55,3038,3038,3038,3038,1
