,time,open,high,low,close,volume,
28322,4/15/20 9:05,10.7,10.7,10.7,10.7,101,
28321,4/15/20 9:30,10.76,10.76,10.75,10.75,600,
28320,4/15/20 9:35,10.77,10.885,10.7476,10.825,7484,
28319,4/15/20 9:40,10.93,10.96,10.88,10.93,1895,
28318,4/15/20 9:45,10.84,10.84,10.64,10.64,3043,
28317,4/15/20 9:50,10.66,10.8481,10.66,10.8481,608,
28316,4/15/20 9:55,10.93,10.93,10.75,10.84,1873,
28315,4/15/20 10:00,10.8,10.8,10.8,10.8,250,
28314,4/15/20 10:05,10.82,10.83,10.72,10.72,1783,
28313,4/15/20 10:10,10.74,10.76,10.69,10.69,2225,
28312,4/15/20 10:15,10.6976,10.72,10.62,10.62,2240,
28311,4/15/20 10:20,10.59,10.595,10.56,10.58,1430,
28310,4/15/20 10:25,10.5048,10.6,10.5048,10.6,943,
28309,4/15/20 10:30,10.575,10.6,10.44,10.53,4886,
28308,4/15/20 10:35,10.54,10.56,10.49,10.49,1753,
28307,4/15/20 10:40,10.48,10.51,10.39,10.46,1067,
28306,4/15/20 10:45,10.5,10.57,10.465,10.5355,1594,
28305,4/15/20 10:50,10.57,10.6293,10.52,10.59,4867,
28304,4/15/20 10:55,10.58,10.6,10.56,10.5993,2163,
28303,4/15/20 11:00,10.59,10.6602,10.59,10.6602,1942,
28302,4/15/20 11:05,10.655,10.655,10.57,10.59,4693,
28301,4/15/20 11:10,10.59,10.59,10.54,10.55,839,
28300,4/15/20 11:15,10.62,10.62,10.52,10.52,1155,
28299,4/15/20 11:20,10.52,10.52,10.52,10.52,100,
28298,4/15/20 11:25,10.52,10.59,10.52,10.59,1872,
28297,4/15/20 11:30,10.62,10.7,10.62,10.67,689,
28296,4/15/20 11:35,10.74,10.78,10.73,10.7452,1836,
28295,4/15/20 11:40,10.72,10.7544,10.71,10.7544,1510,
28294,4/15/20 11:45,10.73,10.73,10.64,10.64,1292,
28293,4/15/20 11:50,10.64,10.67,10.64,10.67,1111,
28292,4/15/20 11:55,10.63,10.65,10.61,10.65,1589,
28291,4/15/20 12:00,10.66,10.67,10.66,10.67,492,
28290,4/15/20 12:05,10.64,10.655,10.63,10.655,1329,
28289,4/15/20 12:10,10.655,10.655,10.59,10.595,895,
28288,4/15/20 12:15,10.55,10.55,10.51,10.51,1909,
28287,4/15/20 12:20,10.535,10.61,10.525,10.525,3893,
28286,4/15/20 12:25,10.54,10.61,10.54,10.59,1627,
28285,4/15/20 12:30,10.58,10.62,10.58,10.6,2181,
28284,4/15/20 12:35,10.61,10.65,10.61,10.63,883,
28283,4/15/20 12:40,10.65,10.65,10.6425,10.6425,442,
28282,4/15/20 12:45,10.64,10.64,10.63,10.63,792,
28281,4/15/20 12:50,10.66,10.66,10.66,10.66,100,
28280,4/15/20 12:55,10.68,10.71,10.68,10.71,810,
28279,4/15/20 13:00,10.72,10.76,10.72,10.76,510,
28278,4/15/20 13:05,10.76,10.76,10.76,10.76,100,
28277,4/15/20 13:10,10.76,10.76,10.72,10.72,3513,
28276,4/15/20 13:15,10.745,10.77,10.745,10.77,360,
28275,4/15/20 13:20,10.76,10.83,10.76,10.83,523,
28274,4/15/20 13:25,10.83,10.83,10.78,10.78,1507,
28273,4/15/20 13:30,10.8,10.81,10.76,10.76,845,
28272,4/15/20 13:35,10.73,10.745,10.68,10.7,2752,
28271,4/15/20 13:40,10.72,10.72,10.72,10.72,400,
28270,4/15/20 13:45,10.69,10.72,10.69,10.7,729,
28269,4/15/20 13:50,10.695,10.71,10.66,10.71,764,
28268,4/15/20 13:55,10.7004,10.72,10.7004,10.72,450,
28267,4/15/20 14:00,10.6842,10.74,10.65,10.73,6209,
28266,4/15/20 14:05,10.73,10.78,10.7,10.75,17373,
28265,4/15/20 14:10,10.755,10.8,10.75,10.75,13057,
28264,4/15/20 14:15,10.72,10.78,10.72,10.76,5625,
28263,4/15/20 14:20,10.76,10.78,10.76,10.78,700,
28262,4/15/20 14:25,10.8058,10.86,10.79,10.85,8801,
28261,4/15/20 14:30,10.86,10.88,10.81,10.85,10636,
28260,4/15/20 14:35,10.87,10.89,10.85,10.89,1878,
28259,4/15/20 14:40,10.87,10.91,10.87,10.91,1224,
28258,4/15/20 14:45,10.9,10.9,10.88,10.88,1822,
28257,4/15/20 14:50,10.86,10.86,10.86,10.86,905,
28256,4/15/20 14:55,10.845,10.89,10.83,10.88,18665,
28255,4/15/20 15:00,10.87,10.89,10.84,10.88,21037,
28254,4/15/20 15:05,10.84,10.89,10.84,10.85,6565,
28253,4/15/20 15:10,10.84,10.84,10.81,10.84,1261,
28252,4/15/20 15:15,10.85,10.85,10.74,10.77,10630,
28251,4/15/20 15:20,10.77,10.77,10.61,10.67,13373,
28250,4/15/20 15:25,10.68,10.69,10.65,10.66,1898,
28249,4/15/20 15:30,10.66,10.66,10.66,10.66,213,
28248,4/15/20 15:35,10.66,10.68,10.65,10.65,1955,
28247,4/15/20 15:40,10.66,10.69,10.66,10.69,1345,
28246,4/15/20 15:45,10.71,10.71,10.64,10.67,3330,
28245,4/15/20 15:50,10.66,10.69,10.6557,10.69,2455,
28244,4/15/20 15:55,10.68,10.68,10.63,10.63,4132,
28243,4/15/20 16:00,10.62,10.65,10.57,10.61,20319,
28242,4/15/20 16:05,10.62,10.62,10.62,10.62,5044,
28241,4/15/20 16:20,10.62,10.62,10.62,10.62,3442,
28240,4/16/20 9:35,10.57,10.57,10.57,10.57,3723,
28239,4/16/20 9:40,10.55,10.66,10.37,10.45,6072,
28238,4/16/20 9:45,10.4,10.42,10.38,10.41,1284,
28237,4/16/20 9:50,10.452,10.48,10.4,10.41,2234,
28236,4/16/20 9:55,10.3692,10.41,10.35,10.35,4116,
28235,4/16/20 10:00,10.41,10.41,10.3,10.3,3454,
28234,4/16/20 10:05,10.3,10.35,10.3,10.32,588,
28233,4/16/20 10:10,10.36,10.38,10.31,10.33,9910,
28232,4/16/20 10:15,10.33,10.33,10.26,10.26,8047,
28231,4/16/20 10:20,10.25,10.26,10.25,10.26,1454,
28230,4/16/20 10:25,10.28,10.32,10.28,10.32,201,
28229,4/16/20 10:30,10.28,10.34,10.27,10.34,933,
28228,4/16/20 10:35,10.36,10.36,10.31,10.31,1244,
28227,4/16/20 10:40,10.28,10.29,10.27,10.27,1213,
28226,4/16/20 10:45,10.25,10.25,10.24,10.24,1722,
28225,4/16/20 10:50,10.29,10.29,10.23,10.23,1016,
28224,4/16/20 10:55,10.25,10.26,10.22,10.22,1764,
28223,4/16/20 11:00,10.2398,10.3,10.2398,10.3,1952,
28222,4/16/20 11:05,10.33,10.3398,10.31,10.33,1526,
28221,4/16/20 11:10,10.34,10.42,10.34,10.42,798,
28220,4/16/20 11:15,10.41,10.46,10.38,10.41,1435,
28219,4/16/20 11:20,10.37,10.38,10.33,10.38,1515,
28218,4/16/20 11:25,10.385,10.4,10.37,10.4,2806,
28217,4/16/20 11:30,10.38,10.47,10.38,10.4,2431,
28216,4/16/20 11:35,10.4,10.41,10.37,10.37,1875,
28215,4/16/20 11:40,10.37,10.4,10.345,10.35,6513,
28214,4/16/20 11:45,10.41,10.41,10.3805,10.3805,300,
28213,4/16/20 11:50,10.36,10.36,10.33,10.35,1235,
28212,4/16/20 11:55,10.3137,10.44,10.3137,10.44,5022,
28211,4/16/20 12:00,10.46,10.51,10.43,10.45,6250,
28210,4/16/20 12:05,10.46,10.47,10.38,10.38,1091,
28209,4/16/20 12:10,10.43,10.43,10.31,10.31,1843,
28208,4/16/20 12:15,10.34,10.34,10.31,10.315,582,
28207,4/16/20 12:20,10.29,10.3,10.23,10.23,1586,
28206,4/16/20 12:25,10.22,10.22,10.18,10.19,1296,
28205,4/16/20 12:30,10.22,10.28,10.19,10.28,1073,
28204,4/16/20 12:35,10.24,10.24,10.17,10.17,1456,
28203,4/16/20 12:40,10.15,10.2,10.15,10.19,1195,
28202,4/16/20 12:45,10.23,10.23,10.23,10.23,100,
28201,4/16/20 12:50,10.21,10.26,10.21,10.26,1720,
28200,4/16/20 12:55,10.26,10.285,10.25,10.26,1593,
28199,4/16/20 13:00,10.23,10.33,10.23,10.33,850,
28198,4/16/20 13:05,10.29,10.305,10.29,10.305,501,
28197,4/16/20 13:10,10.31,10.31,10.29,10.31,759,
28196,4/16/20 13:15,10.3045,10.3045,10.3,10.3,379,
28195,4/16/20 13:20,10.28,10.3047,10.28,10.285,2099,
28194,4/16/20 13:25,10.31,10.34,10.27,10.33,8962,
28193,4/16/20 13:30,10.31,10.36,10.31,10.36,842,
28192,4/16/20 13:35,10.36,10.38,10.35,10.35,1684,
28191,4/16/20 13:40,10.38,10.4,10.34,10.34,2275,
28190,4/16/20 13:45,10.33,10.38,10.32,10.35,15015,
28189,4/16/20 13:50,10.34,10.4,10.34,10.37,16000,
28188,4/16/20 13:55,10.38,10.38,10.32,10.33,15256,
28187,4/16/20 14:00,10.36,10.36,10.31,10.34,21359,
28186,4/16/20 14:05,10.35,10.38,10.34,10.38,7592,
28185,4/16/20 14:10,10.39,10.41,10.36,10.41,565,
28184,4/16/20 14:20,10.46,10.46,10.435,10.44,1448,
28183,4/16/20 14:25,10.42,10.44,10.41,10.435,1430,
28182,4/16/20 14:30,10.425,10.44,10.425,10.44,1446,
28181,4/16/20 14:35,10.46,10.46,10.46,10.46,144,
28180,4/16/20 14:40,10.44,10.55,10.44,10.55,1622,
28179,4/16/20 14:45,10.54,10.56,10.5,10.52,3197,
28178,4/16/20 14:50,10.54,10.54,10.5,10.51,546,
