,time,open,high,low,close,volume
16019,2021-04-08 09:35:00,36.84,37.12,36.84,37.12,116236.0
16018,2021-04-08 09:40:00,37.13,37.13,36.81,36.89,65504.0
16017,2021-04-08 09:45:00,36.9069,36.94,36.84,36.9,19611.0
16016,2021-04-08 09:50:00,36.91,37.05,36.91,37.0151,43167.0
16015,2021-04-08 09:55:00,37.015,37.06,36.93,36.96,27753.0
16014,2021-04-08 10:00:00,36.96,36.96,36.83,36.87,14143.0
16013,2021-04-08 10:05:00,36.875,36.9,36.73,36.775,56757.0
16012,2021-04-08 10:10:00,36.77,36.78,36.72,36.73,61928.0
16011,2021-04-08 10:15:00,36.735,36.84,36.72,36.83,28650.0
16010,2021-04-08 10:20:00,36.83,36.85,36.77,36.77,30168.0
16009,2021-04-08 10:25:00,36.765,36.7718,36.7,36.75,23710.0
16008,2021-04-08 10:30:00,36.74,36.86,36.695,36.85,73463.0
16007,2021-04-08 10:35:00,36.86,36.88,36.8,36.86,65379.0
16006,2021-04-08 10:40:00,36.86,36.955,36.82,36.94,15842.0
16005,2021-04-08 10:45:00,36.935,36.98,36.92,36.95,23920.0
16004,2021-04-08 10:50:00,36.95,37.0109,36.91,37.01,21041.0
16003,2021-04-08 10:55:00,37.01,37.02,36.9799,37.0,19816.0
16002,2021-04-08 11:00:00,37.0,37.05,37.0,37.03,15221.0
16001,2021-04-08 11:05:00,37.03,37.08,37.03,37.05,15250.0
16000,2021-04-08 11:10:00,37.06,37.08,37.0,37.03,38704.0
15999,2021-04-08 11:15:00,37.03,37.05,37.01,37.015,15247.0
15998,2021-04-08 11:20:00,37.02,37.08,36.995,37.08,24674.0
15997,2021-04-08 11:25:00,37.09,37.1,37.0448,37.06,23169.0
15996,2021-04-08 11:30:00,37.06,37.08,37.04,37.05,15422.0
15995,2021-04-08 11:35:00,37.04,37.125,37.04,37.12,26230.0
15994,2021-04-08 11:40:00,37.13,37.15,37.1094,37.11,11516.0
15993,2021-04-08 11:45:00,37.1,37.16,37.1,37.16,10646.0
15992,2021-04-08 11:50:00,37.16,37.175,37.13,37.13,18282.0
15991,2021-04-08 11:55:00,37.13,37.2,37.1244,37.19,11471.0
15990,2021-04-08 12:00:00,37.19,37.19,37.08,37.085,15338.0
15989,2021-04-08 12:05:00,37.08,37.11,37.08,37.1,8260.0
15988,2021-04-08 12:10:00,37.1,37.1,37.05,37.06,13894.0
15987,2021-04-08 12:15:00,37.068000000000005,37.08,37.06,37.07,15382.0
15986,2021-04-08 12:20:00,37.07,37.11,37.07,37.0924,20003.0
15985,2021-04-08 12:25:00,37.1,37.115,37.09,37.09,13901.0
15984,2021-04-08 12:30:00,37.0868,37.0868,37.04,37.06,12896.0
15983,2021-04-08 12:35:00,37.06,37.07,37.0345,37.04,17952.0
15982,2021-04-08 12:40:00,37.05,37.06,37.04,37.05,9776.0
15981,2021-04-08 12:45:00,37.04,37.06,37.035,37.035,13160.0
15980,2021-04-08 12:50:00,37.05,37.05,37.015,37.015,13274.0
15979,2021-04-08 12:55:00,37.02,37.035,37.01,37.01,19682.0
15978,2021-04-08 13:00:00,37.01,37.05,37.0,37.05,43595.0
15977,2021-04-08 13:05:00,37.05,37.06,37.04,37.0519,14210.0
15976,2021-04-08 13:10:00,37.05,37.06,36.99,37.01,25879.0
15975,2021-04-08 13:15:00,37.02,37.03,37.02,37.03,8872.0
15974,2021-04-08 13:20:00,37.03,37.05,37.03,37.04,15108.0
